role,id,season,end_n,end_rate,end_success
pitcher,21916,2023,8210,0.558709,0
pitcher,21916,2024,9799,0.559649,0
pitcher,21916,2025,11087,0.555786,1
pitcher,21936,2020,2185,0.55103,1
pitcher,21936,2021,4619,0.533449,0
pitcher,21936,2022,6045,0.527047,1
pitcher,21936,2023,7227,0.516258,1
pitcher,21936,2024,7867,0.511758,0
pitcher,21936,2025,8550,0.509591,0
pitcher,21940,2020,2349,0.602384,1
pitcher,21940,2021,2816,0.605114,0
pitcher,21940,2022,3426,0.591068,0
pitcher,21940,2023,4378,0.582001,1
pitcher,21940,2024,5320,0.568421,1
pitcher,21940,2025,6362,0.558158,0
pitcher,21943,2020,9,0.777778,1
pitcher,21943,2021,607,0.494234,1
pitcher,21943,2022,1445,0.470588,0
pitcher,21943,2023,1889,0.480148,1
pitcher,21943,2024,2401,0.478551,1
pitcher,21943,2025,3170,0.476972,0
pitcher,21955,2020,2907,0.578603,1
pitcher,21955,2023,5541,0.55333,1
pitcher,21955,2024,8339,0.527401,1
pitcher,21955,2025,11114,0.521324,0
pitcher,21961,2020,2698,0.60934,0
pitcher,21961,2021,5648,0.591006,0
pitcher,21961,2023,8504,0.56691,0
pitcher,21961,2024,11255,0.552643,1
pitcher,21961,2025,13875,0.544216,1
pitcher,21978,2020,300,0.51,1
pitcher,21978,2021,757,0.52576,0
pitcher,21991,2020,164,0.54878,1
pitcher,21991,2021,928,0.491379,1
pitcher,21991,2022,1172,0.49744,1
pitcher,21991,2023,1547,0.497738,1
pitcher,21991,2024,1807,0.493636,1
pitcher,21991,2025,1875,0.493333,0
pitcher,21994,2020,1021,0.542605,1
pitcher,21994,2021,1581,0.525617,0
pitcher,21994,2022,2345,0.529211,1
pitcher,21994,2023,2574,0.530303,0
pitcher,21994,2025,2991,0.524574,1
pitcher,21998,2020,212,0.556604,1
pitcher,21998,2021,1969,0.496191,0
pitcher,21998,2022,3827,0.499085,1
pitcher,21998,2023,5249,0.514193,1
pitcher,21998,2024,6310,0.511569,1
pitcher,21998,2025,6687,0.5083,1
pitcher,22007,2020,129,0.666667,1
pitcher,22007,2021,493,0.636917,0
pitcher,22015,2020,92,0.467391,0
pitcher,22015,2021,1055,0.432227,1
pitcher,22015,2022,1669,0.431396,1
pitcher,22015,2023,2086,0.428571,1
pitcher,22028,2020,252,0.571429,0
pitcher,22028,2021,944,0.519068,0
pitcher,22028,2022,1663,0.506314,0
pitcher,22028,2023,2168,0.489391,1
pitcher,22028,2024,2994,0.479292,1
pitcher,22028,2025,4025,0.473789,1
pitcher,22029,2020,128,0.632812,1
pitcher,22094,2020,913,0.537788,0
pitcher,22094,2021,1703,0.468585,1
pitcher,22094,2022,2228,0.502693,1
pitcher,22094,2023,3109,0.478289,1
pitcher,22094,2024,3923,0.489676,0
pitcher,22094,2025,4655,0.478625,0
pitcher,22099,2020,385,0.490909,0
pitcher,22099,2021,509,0.499018,1
pitcher,22099,2022,571,0.502627,1
pitcher,22110,2020,461,0.713666,0
pitcher,22110,2021,1134,0.645503,1
pitcher,22118,2020,1103,0.480508,0
pitcher,22118,2021,2239,0.455561,0
pitcher,22118,2022,3251,0.443556,1
pitcher,22118,2023,3459,0.448106,0
pitcher,22118,2024,3507,0.448246,1
pitcher,22123,2020,880,0.639773,1
pitcher,22123,2021,1510,0.617219,1
pitcher,22131,2020,2583,0.694541,1
pitcher,22131,2021,4956,0.689669,1
pitcher,22131,2022,6206,0.684015,1
pitcher,22136,2020,421,0.494062,1
pitcher,22136,2021,525,0.485714,1
pitcher,22136,2022,833,0.488595,1
pitcher,22143,2020,923,0.514626,0
pitcher,22143,2021,1302,0.513057,1
pitcher,22143,2022,1637,0.508247,0
pitcher,22143,2023,2002,0.493506,1
pitcher,22154,2020,1058,0.559546,0
pitcher,22154,2021,1620,0.537037,1
pitcher,22154,2022,2144,0.530784,1
pitcher,22154,2023,2438,0.528712,0
pitcher,22156,2020,171,0.625731,1
pitcher,22163,2020,1912,0.611402,0
pitcher,22163,2021,2911,0.598076,0
pitcher,22163,2022,3425,0.595912,1
pitcher,22163,2023,5542,0.56947,1
pitcher,22163,2024,6803,0.558136,0
pitcher,22163,2025,7453,0.548638,1
pitcher,22180,2020,200,0.63,1
pitcher,22180,2021,775,0.584516,1
pitcher,22180,2022,1097,0.577028,1
pitcher,22192,2020,2527,0.498615,0
pitcher,22192,2021,5388,0.492205,0
pitcher,22192,2022,6255,0.493845,0
pitcher,22192,2023,7151,0.485946,1
pitcher,22192,2024,8868,0.480492,0
pitcher,22192,2025,9595,0.481188,0
pitcher,22201,2020,872,0.545872,1
pitcher,22201,2021,1546,0.521345,0
pitcher,22201,2022,1769,0.529678,1
pitcher,22201,2023,2144,0.520989,0
pitcher,22203,2020,25,0.8,1
pitcher,22205,2020,18,0.444444,1
pitcher,22205,2021,314,0.525478,0
pitcher,22205,2022,494,0.566802,1
pitcher,22205,2023,1186,0.567454,0
pitcher,22205,2024,1673,0.539151,0
pitcher,22205,2025,2477,0.516754,1
pitcher,22220,2020,568,0.47007,0
pitcher,22231,2020,1112,0.611511,1
pitcher,22231,2021,2070,0.605314,1
pitcher,22231,2022,3732,0.582797,1
pitcher,22231,2023,5525,0.583167,1
pitcher,22231,2024,7085,0.565138,0
pitcher,22231,2025,7276,0.563084,1
pitcher,22233,2020,292,0.510274,1
pitcher,22233,2021,321,0.507788,1
pitcher,22234,2020,860,0.595349,1
pitcher,22234,2021,1341,0.593587,1
pitcher,22249,2020,2156,0.550093,1
pitcher,22249,2021,3734,0.536958,0
pitcher,22249,2022,5306,0.52582,1
pitcher,22249,2023,6921,0.515099,0
pitcher,22249,2024,8063,0.507379,1
pitcher,22249,2025,9877,0.502481,1
pitcher,22250,2021,177,0.638418,1
pitcher,22253,2020,1073,0.573159,1
pitcher,22253,2021,1330,0.569173,1
pitcher,22253,2022,1730,0.567052,1
pitcher,22253,2023,2506,0.564246,0
pitcher,22253,2024,2982,0.56271,0
pitcher,22253,2025,3006,0.563207,1
pitcher,22254,2020,557,0.624776,1
pitcher,22254,2021,1481,0.573937,1
pitcher,22254,2022,1874,0.570971,1
pitcher,22254,2023,2768,0.567197,0
pitcher,22254,2024,3845,0.56515,0
pitcher,22254,2025,4952,0.565226,0
pitcher,22261,2021,315,0.580952,0
pitcher,22261,2022,654,0.642202,1
pitcher,22261,2023,1014,0.599606,0
pitcher,22261,2024,1045,0.6,0
pitcher,22277,2020,1659,0.496082,1
pitcher,22277,2021,4260,0.479577,1
pitcher,22277,2022,6230,0.501124,1
pitcher,22277,2023,8059,0.498945,1
pitcher,22277,2024,10517,0.522297,1
pitcher,22277,2025,12742,0.532805,1
pitcher,22278,2020,1647,0.3898,0
pitcher,22278,2021,2699,0.439422,0
pitcher,22278,2022,3915,0.493997,1
pitcher,22278,2023,4852,0.502679,0
pitcher,22278,2024,5651,0.502035,1
pitcher,22278,2025,6479,0.499768,1
pitcher,22280,2021,516,0.498062,1
pitcher,22280,2022,772,0.5,1
pitcher,22280,2023,934,0.511777,1
pitcher,22280,2024,1096,0.524635,1
pitcher,22292,2022,403,0.51861,1
pitcher,22292,2023,1818,0.49725,1
pitcher,22292,2024,2776,0.494236,1
pitcher,22292,2025,3997,0.481611,0
pitcher,22293,2020,1536,0.566406,1
pitcher,22293,2021,2746,0.563001,0
pitcher,22293,2022,4018,0.543056,1
pitcher,22293,2023,5027,0.530734,0
pitcher,22293,2024,6119,0.529989,0
pitcher,22293,2025,7180,0.525209,1
pitcher,22302,2020,436,0.46789,1
pitcher,22302,2021,940,0.562766,1
pitcher,22302,2022,1846,0.526544,1
pitcher,22302,2023,2618,0.515661,1
pitcher,22302,2024,3076,0.505202,1
pitcher,22302,2025,3541,0.4976,1
pitcher,22305,2023,41,0.512195,1
pitcher,22309,2020,1017,0.630285,0
pitcher,22309,2021,1106,0.637432,1
pitcher,22311,2020,696,0.53592,1
pitcher,22311,2021,1115,0.540807,1
pitcher,22311,2022,1341,0.521999,1
pitcher,22312,2020,41,0.682927,1
pitcher,22312,2021,453,0.501104,1
pitcher,22312,2022,1506,0.484064,1
pitcher,22312,2023,1664,0.470553,0
pitcher,22312,2024,1785,0.462185,0
pitcher,22312,2025,1800,0.46,1
pitcher,22318,2020,986,0.608519,1
pitcher,22318,2021,2332,0.58705,1
pitcher,22318,2022,3184,0.578204,0
pitcher,22318,2023,3253,0.58008,0
pitcher,22318,2024,4336,0.573109,0
pitcher,22318,2025,4865,0.566495,1
pitcher,22321,2020,286,0.646853,1
pitcher,22332,2022,27,0.333333,0
pitcher,22335,2020,764,0.53534,1
pitcher,22335,2021,1079,0.518072,1
pitcher,22345,2022,22,0.5,1
pitcher,22349,2020,46,0.695652,1
pitcher,22368,2020,524,0.673664,1
pitcher,22368,2021,1247,0.566961,1
pitcher,22368,2022,2071,0.546113,1
pitcher,22368,2023,2667,0.538058,1
pitcher,22368,2024,3098,0.531633,0
pitcher,22368,2025,3368,0.524941,0
pitcher,22372,2020,14,0.714286,0
pitcher,22380,2020,844,0.510664,0
pitcher,22380,2021,3068,0.543025,1
pitcher,22380,2022,5590,0.53381,1
pitcher,22380,2023,7673,0.534993,0
pitcher,22380,2024,8921,0.533348,0
pitcher,22380,2025,9787,0.529989,0
pitcher,22389,2020,894,0.626398,1
pitcher,22389,2021,3154,0.583069,1
pitcher,22389,2022,4554,0.582784,0
pitcher,22389,2023,5892,0.572301,0
pitcher,22389,2024,7819,0.560046,0
pitcher,22389,2025,9140,0.549672,0
pitcher,22397,2020,1076,0.587361,0
pitcher,22397,2021,2115,0.558392,1
pitcher,22397,2022,3215,0.554277,1
pitcher,22397,2023,3909,0.550013,1
pitcher,22397,2024,5070,0.541026,1
pitcher,22397,2025,5940,0.536364,1
pitcher,22404,2020,254,0.562992,1
pitcher,22404,2021,669,0.568012,1
pitcher,22404,2022,1389,0.557955,0
pitcher,22404,2023,1429,0.560532,1
pitcher,22404,2024,1478,0.560893,1
pitcher,22414,2021,443,0.623025,1
pitcher,22414,2022,457,0.628009,1
pitcher,22414,2023,474,0.639241,1
pitcher,22419,2020,1893,0.529319,1
pitcher,22419,2021,2859,0.532004,0
pitcher,22419,2022,3887,0.526627,0
pitcher,22419,2023,4634,0.528917,1
pitcher,22419,2024,5718,0.531305,0
pitcher,22419,2025,6854,0.526116,1
pitcher,22427,2020,1034,0.569632,1
pitcher,22427,2021,1727,0.557614,1
pitcher,22427,2022,2526,0.555424,0
pitcher,22427,2023,2987,0.555407,1
pitcher,22427,2024,3356,0.549762,0
pitcher,22428,2020,15,0.8,1
pitcher,22428,2021,109,0.513761,1
pitcher,22428,2022,144,0.555556,0
pitcher,22428,2024,335,0.540299,1
pitcher,22435,2020,2184,0.61859,1
pitcher,22435,2021,4522,0.589562,1
pitcher,22435,2022,5380,0.593309,0
pitcher,22435,2023,5883,0.592895,1
pitcher,22435,2024,7676,0.579599,1
pitcher,22435,2025,8732,0.572492,0
pitcher,22458,2020,1464,0.549863,1
pitcher,22469,2020,1712,0.535047,1
pitcher,22469,2022,3142,0.560471,1
pitcher,22469,2023,4747,0.586476,1
pitcher,22469,2024,5186,0.56961,0
pitcher,22469,2025,5863,0.553641,0
pitcher,22473,2020,97,0.649485,0
pitcher,22473,2021,638,0.5721,0
pitcher,22478,2020,811,0.636252,1
pitcher,22478,2021,1461,0.5859,1
pitcher,22478,2022,2145,0.594406,1
pitcher,22478,2023,2264,0.597615,1
pitcher,22478,2024,2298,0.59443,1
pitcher,22487,2020,1134,0.501764,1
pitcher,22491,2020,1025,0.554146,1
pitcher,22491,2021,1796,0.551782,1
pitcher,22491,2022,1999,0.554777,1
pitcher,22491,2023,2231,0.545944,1
pitcher,22505,2020,219,0.625571,1
pitcher,22505,2021,1054,0.523719,1
pitcher,22505,2022,1156,0.541522,1
pitcher,22508,2020,709,0.541608,1
pitcher,22508,2021,1664,0.533654,1
pitcher,22508,2022,2420,0.52686,1
pitcher,22508,2025,3084,0.506485,1
pitcher,22524,2020,239,0.631799,1
pitcher,22525,2020,981,0.492355,1
pitcher,22525,2021,1953,0.515617,1
pitcher,22525,2022,2375,0.517053,1
pitcher,22525,2023,2829,0.525274,1
pitcher,22525,2024,3739,0.527146,1
pitcher,22525,2025,3988,0.526078,1
pitcher,22539,2020,79,0.64557,1
pitcher,22539,2021,185,0.524324,1
pitcher,22540,2020,722,0.581717,1
pitcher,22540,2021,1691,0.559432,1
pitcher,22540,2022,2616,0.547783,0
pitcher,22540,2023,3439,0.538238,0
pitcher,22540,2025,3521,0.537915,1
pitcher,22541,2020,146,0.60274,1
pitcher,22541,2021,225,0.573333,1
pitcher,22541,2022,602,0.496678,1
pitcher,22541,2023,794,0.512594,0
pitcher,22541,2024,968,0.48657,1
pitcher,22541,2025,1064,0.475564,1
pitcher,22547,2020,705,0.44539,1
pitcher,22547,2021,1666,0.465786,1
pitcher,22547,2022,2552,0.485893,1
pitcher,22547,2023,3248,0.482143,0
pitcher,22547,2024,3854,0.478464,0
pitcher,22547,2025,4325,0.477457,1
pitcher,22548,2020,247,0.538462,0
pitcher,22551,2020,91,0.582418,1
pitcher,22575,2020,66,0.712121,1
pitcher,22575,2021,947,0.544879,0
pitcher,22575,2022,2238,0.523235,0
pitcher,22575,2023,3512,0.522779,1
pitcher,22575,2024,4353,0.514588,0
pitcher,22575,2025,4648,0.510757,0
pitcher,22579,2020,54,0.592593,0
pitcher,22579,2021,102,0.568627,0
pitcher,22579,2022,144,0.611111,0
pitcher,22583,2021,796,0.484925,1
pitcher,22583,2022,1467,0.481936,1
pitcher,22583,2023,1678,0.485697,1
pitcher,22592,2020,960,0.504167,1
pitcher,22592,2021,1827,0.506294,1
pitcher,22592,2022,2731,0.502746,0
pitcher,22592,2023,3688,0.491866,1
pitcher,22592,2024,4010,0.492519,1
pitcher,22592,2025,4068,0.492134,1
pitcher,22595,2020,87,0.356322,0
pitcher,22595,2021,763,0.479685,1
pitcher,22595,2022,1115,0.476233,0
pitcher,22595,2023,1184,0.478885,1
pitcher,22595,2024,1447,0.474084,1
pitcher,22596,2020,622,0.68328,0
pitcher,22596,2021,855,0.671345,1
pitcher,22596,2022,1372,0.651603,1
pitcher,22596,2023,1575,0.64381,1
pitcher,22597,2020,220,0.409091,1
pitcher,22597,2023,238,0.420168,1
pitcher,22597,2024,255,0.431373,0
pitcher,22598,2020,926,0.547516,1
pitcher,22598,2021,1416,0.537429,1
pitcher,22598,2022,1584,0.551768,1
pitcher,22598,2023,2248,0.554715,1
pitcher,22598,2024,2777,0.545553,0
pitcher,22598,2025,3151,0.535703,0
pitcher,22615,2022,514,0.501946,1
pitcher,22617,2020,116,0.637931,0
pitcher,22617,2021,848,0.520047,1
pitcher,22617,2022,1508,0.509284,0
pitcher,22617,2023,1937,0.505937,0
pitcher,22617,2024,2777,0.506302,1
pitcher,22617,2025,3758,0.50612,0
pitcher,22621,2020,79,0.620253,1
pitcher,22621,2021,359,0.562674,1
pitcher,22621,2022,830,0.546988,0
pitcher,22621,2023,1401,0.518201,0
pitcher,22621,2024,1728,0.509838,0
pitcher,22621,2025,2144,0.508396,0
pitcher,22622,2021,244,0.467213,0
pitcher,22622,2022,522,0.431034,1
pitcher,22624,2020,1004,0.506972,1
pitcher,22624,2021,1867,0.522228,1
pitcher,22624,2022,3174,0.519534,0
pitcher,22624,2023,4083,0.518736,0
pitcher,22624,2024,4971,0.515792,0
pitcher,22624,2025,6260,0.505751,1
pitcher,22640,2020,468,0.508547,1
pitcher,22651,2023,691,0.463097,0
pitcher,22651,2024,1624,0.458128,1
pitcher,22651,2025,4216,0.473909,0
pitcher,22666,2020,146,0.636986,1
pitcher,22666,2021,688,0.521802,1
pitcher,22666,2022,1019,0.516192,0
pitcher,22666,2023,1118,0.525045,1
pitcher,22667,2020,7,0.714286,0
pitcher,22667,2021,116,0.517241,1
pitcher,22667,2022,481,0.417879,1
pitcher,22667,2023,1467,0.441718,0
pitcher,22667,2024,1605,0.449844,0
pitcher,22667,2025,2461,0.456725,1
pitcher,22668,2020,319,0.617555,0
pitcher,22668,2021,1000,0.566,0
pitcher,22668,2022,1984,0.540323,1
pitcher,22668,2023,4011,0.539516,0
pitcher,22668,2024,4647,0.545944,0
pitcher,22668,2025,5289,0.545094,1
pitcher,22675,2020,835,0.57485,1
pitcher,22675,2021,1643,0.555691,0
pitcher,22675,2022,2364,0.546108,1
pitcher,22675,2023,2793,0.548514,0
pitcher,22675,2024,3027,0.545755,0
pitcher,22675,2025,3416,0.534543,0
pitcher,22703,2020,2932,0.564461,0
pitcher,22708,2020,1170,0.530769,1
pitcher,22708,2021,3630,0.514325,1
pitcher,22708,2022,6296,0.505241,1
pitcher,22708,2023,9048,0.501437,1
pitcher,22708,2024,10015,0.496955,1
pitcher,22708,2025,10201,0.497206,1
pitcher,22710,2021,96,0.572917,1
pitcher,22710,2022,1021,0.559256,1
pitcher,22710,2023,1973,0.559554,1
pitcher,22710,2024,2885,0.552166,1
pitcher,22710,2025,3959,0.54736,1
pitcher,22717,2020,480,0.479167,0
pitcher,22717,2021,950,0.436842,1
pitcher,22717,2022,2227,0.439156,0
pitcher,22717,2023,3261,0.448022,1
pitcher,22717,2024,3278,0.448139,1
pitcher,22717,2025,3440,0.451163,1
pitcher,22720,2022,2407,0.52472,0
pitcher,22720,2023,5024,0.490844,1
pitcher,22720,2024,7477,0.488297,1
pitcher,22720,2025,9086,0.487123,0
pitcher,22721,2022,743,0.578735,1
pitcher,22721,2023,1439,0.537874,1
pitcher,22721,2024,2240,0.521875,1
pitcher,22722,2021,30,0.566667,0
pitcher,22722,2022,108,0.657407,1
pitcher,22729,2020,1333,0.513128,1
pitcher,22729,2021,3059,0.51324,0
pitcher,22729,2022,3983,0.507155,0
pitcher,22729,2023,5196,0.503079,0
pitcher,22729,2024,5423,0.504702,1
pitcher,22729,2025,6773,0.507013,0
pitcher,22730,2020,671,0.5693,1
pitcher,22730,2022,1582,0.537927,1
pitcher,22730,2023,3905,0.534699,0
pitcher,22730,2024,5695,0.5259,1
pitcher,22730,2025,8484,0.513201,0
pitcher,22731,2021,160,0.525,1
pitcher,22731,2022,662,0.554381,1
pitcher,22731,2023,746,0.558981,1
pitcher,22734,2020,921,0.538545,0
pitcher,22734,2022,960,0.551042,1
pitcher,22734,2023,1091,0.557287,0
pitcher,22734,2024,1270,0.537008,1
pitcher,22735,2020,1111,0.535554,1
pitcher,22735,2021,2206,0.512693,1
pitcher,22735,2022,3338,0.50749,0
pitcher,22735,2023,4486,0.505127,0
pitcher,22735,2024,5745,0.504091,1
pitcher,22735,2025,6577,0.497795,0
pitcher,22738,2020,651,0.534562,0
pitcher,22738,2021,1625,0.514462,1
pitcher,22738,2022,2668,0.505247,1
pitcher,22738,2023,3737,0.510035,1
pitcher,22738,2024,4906,0.513045,0
pitcher,22738,2025,6044,0.506784,1
pitcher,22739,2022,7,0.571429,1
pitcher,22741,2020,1053,0.622982,1
pitcher,22741,2021,2197,0.601274,0
pitcher,22741,2022,2930,0.592833,1
pitcher,22741,2023,3684,0.583333,0
pitcher,22741,2024,4398,0.579354,0
pitcher,22741,2025,5317,0.575889,1
pitcher,22742,2020,152,0.578947,1
pitcher,22742,2023,206,0.572816,0
pitcher,22743,2020,693,0.549784,1
pitcher,22743,2021,1711,0.548217,0
pitcher,22743,2022,2799,0.557342,1
pitcher,22743,2023,3819,0.541241,0
pitcher,22743,2024,4824,0.526327,1
pitcher,22743,2025,5916,0.50693,0
pitcher,22759,2020,995,0.534673,0
pitcher,22759,2021,3523,0.51178,0
pitcher,22759,2022,6132,0.50636,0
pitcher,22759,2023,8731,0.505326,1
pitcher,22759,2024,11361,0.500132,0
pitcher,22759,2025,14287,0.500735,1
pitcher,22761,2020,148,0.668919,1
pitcher,22761,2021,741,0.566802,1
pitcher,22761,2022,1388,0.551153,1
pitcher,22761,2023,1737,0.545193,1
pitcher,22761,2024,2387,0.54713,1
pitcher,22761,2025,2927,0.539802,1
pitcher,22763,2021,3,0.666667,1
pitcher,22763,2022,23,0.652174,0
pitcher,22772,2020,1177,0.55565,0
pitcher,22772,2021,1843,0.54802,1
pitcher,22772,2022,2592,0.542438,1
pitcher,22772,2023,3182,0.529855,1
pitcher,22772,2024,3662,0.522938,1
pitcher,22772,2025,3689,0.521008,1
pitcher,22776,2020,265,0.569811,0
pitcher,22776,2021,579,0.554404,1
pitcher,22782,2020,1975,0.530127,0
pitcher,22782,2021,3179,0.533187,1
pitcher,22782,2022,4532,0.522507,1
pitcher,22782,2023,5669,0.519668,1
pitcher,22782,2024,6766,0.512563,0
pitcher,22782,2025,7508,0.508791,1
pitcher,22784,2020,29,0.551724,1
pitcher,22784,2021,230,0.469565,1
pitcher,22785,2021,68,0.514706,1
pitcher,22785,2022,825,0.535758,1
pitcher,22785,2023,866,0.54157,1
pitcher,22785,2024,956,0.531381,0
pitcher,22786,2020,40,0.725,1
pitcher,22795,2020,206,0.626214,1
pitcher,22795,2022,698,0.69914,1
pitcher,22795,2023,1074,0.703911,1
pitcher,22795,2024,1129,0.692648,1
pitcher,22810,2020,792,0.67803,1
pitcher,22810,2021,806,0.677419,1
pitcher,22815,2020,182,0.637363,1
pitcher,22815,2021,297,0.606061,0
pitcher,22820,2020,1374,0.508006,1
pitcher,22820,2021,2027,0.48002,0
pitcher,22820,2022,2265,0.483002,0
pitcher,22820,2024,3018,0.472498,0
pitcher,22820,2025,3917,0.470513,1
pitcher,22821,2022,187,0.582888,0
pitcher,22834,2020,2645,0.520983,0
pitcher,22834,2021,4880,0.501025,0
pitcher,22834,2022,6341,0.492194,1
pitcher,22834,2023,8179,0.480988,0
pitcher,22834,2024,8918,0.476116,0
pitcher,22834,2025,10197,0.4721,1
pitcher,22836,2020,74,0.783784,1
pitcher,22836,2021,128,0.65625,0
pitcher,22840,2020,32,0.625,1
pitcher,22840,2021,735,0.478912,0
pitcher,22840,2022,1677,0.550984,0
pitcher,22840,2023,2278,0.58604,1
pitcher,22840,2024,2666,0.579145,0
pitcher,22840,2025,2794,0.576951,1
pitcher,22842,2020,18,0.777778,1
pitcher,22851,2020,196,0.627551,1
pitcher,22851,2021,958,0.52714,1
pitcher,22851,2022,1072,0.527052,0
pitcher,22867,2021,241,0.481328,1
pitcher,22867,2022,372,0.491935,1
pitcher,22867,2023,970,0.506186,1
pitcher,22867,2024,1467,0.484663,0
pitcher,22867,2025,1951,0.478729,0
pitcher,22869,2020,59,0.440678,1
pitcher,22869,2023,294,0.421769,0
pitcher,22870,2021,90,0.622222,1
pitcher,22870,2022,157,0.605096,1
pitcher,22870,2023,239,0.661088,0
pitcher,22870,2024,293,0.648464,0
pitcher,22881,2020,70,0.757143,0
pitcher,22881,2021,354,0.680791,1
pitcher,22890,2020,2446,0.556827,1
pitcher,22890,2021,4180,0.526555,1
pitcher,22890,2022,6603,0.511434,0
pitcher,22890,2023,8427,0.505874,1
pitcher,22890,2024,10779,0.495501,0
pitcher,22890,2025,12938,0.490725,0
pitcher,22893,2022,8,0.625,0
pitcher,22899,2021,347,0.538905,1
pitcher,22899,2022,915,0.514754,1
pitcher,22899,2023,1717,0.520676,1
pitcher,22899,2024,2099,0.504526,1
pitcher,22899,2025,3196,0.492491,1
pitcher,22901,2023,31,0.645161,1
pitcher,22901,2024,170,0.552941,0
pitcher,22901,2025,697,0.450502,0
pitcher,22904,2022,103,0.495146,1
pitcher,22904,2023,179,0.620112,1
pitcher,22904,2024,237,0.599156,1
pitcher,22905,2020,637,0.541601,0
pitcher,22905,2021,1439,0.539263,1
pitcher,22905,2022,1770,0.537288,0
pitcher,22905,2025,1865,0.531903,0
pitcher,22908,2020,2201,0.5811,1
pitcher,22908,2021,4565,0.538445,0
