name,id,season,end_n,end_rate
pitcher_reverse,21624,2020,23,0.217391
pitcher_reverse,21654,2020,330,0.193939
pitcher_reverse,21654,2021,1102,0.232305
pitcher_reverse,21654,2022,1360,0.221324
pitcher_reverse,21690,2020,731,0.209302
pitcher_reverse,21690,2021,1466,0.210095
pitcher_reverse,21690,2022,2155,0.225058
pitcher_reverse,21690,2023,3074,0.243006
pitcher_reverse,21690,2024,4179,0.225652
pitcher_reverse,21690,2025,5330,0.224015
pitcher_reverse,21699,2020,410,0.187805
pitcher_reverse,21699,2021,817,0.203182
pitcher_reverse,21699,2022,1007,0.230387
pitcher_reverse,21733,2020,321,0.190031
pitcher_reverse,21754,2020,1012,0.26087
pitcher_reverse,21754,2021,1142,0.241681
pitcher_reverse,21789,2020,1009,0.177403
pitcher_reverse,21789,2021,1915,0.1953
pitcher_reverse,21789,2022,2974,0.211163
pitcher_reverse,21789,2023,3222,0.209808
pitcher_reverse,21789,2024,4127,0.211534
pitcher_reverse,21789,2025,5313,0.206851
pitcher_reverse,21795,2020,2795,0.244365
pitcher_reverse,21795,2021,3954,0.237734
pitcher_reverse,21795,2022,4479,0.236437
pitcher_reverse,21795,2023,4511,0.234759
pitcher_reverse,21813,2020,1098,0.181239
pitcher_reverse,21813,2021,1653,0.189958
pitcher_reverse,21813,2022,2099,0.208671
pitcher_reverse,21813,2024,2399,0.219675
pitcher_reverse,21813,2025,3084,0.230869
pitcher_reverse,21830,2020,498,0.0763052
pitcher_reverse,21830,2021,992,0.103831
pitcher_reverse,21840,2020,379,0.205805
pitcher_reverse,21840,2021,1334,0.189655
pitcher_reverse,21840,2022,1601,0.185509
pitcher_reverse,21857,2020,21,0.0952381
pitcher_reverse,21874,2020,634,0.107256
pitcher_reverse,21874,2021,1215,0.13251
pitcher_reverse,21875,2020,80,0.3
pitcher_reverse,21875,2021,863,0.192352
pitcher_reverse,21875,2022,1226,0.202284
pitcher_reverse,21875,2023,1386,0.2114
pitcher_reverse,21916,2020,2542,0.171518
pitcher_reverse,21916,2021,3589,0.167735
pitcher_reverse,21916,2022,6135,0.192502
pitcher_reverse,21916,2023,8210,0.209379
pitcher_reverse,21916,2024,9799,0.208082
pitcher_reverse,21916,2025,11087,0.205105
pitcher_reverse,21936,2020,2185,0.170709
pitcher_reverse,21936,2021,4619,0.205456
pitcher_reverse,21936,2022,6045,0.220844
pitcher_reverse,21936,2023,7227,0.230248
pitcher_reverse,21936,2024,7867,0.234778
pitcher_reverse,21936,2025,8550,0.235322
pitcher_reverse,21940,2020,2349,0.165177
pitcher_reverse,21940,2021,2816,0.154119
pitcher_reverse,21940,2022,3426,0.173964
pitcher_reverse,21940,2023,4378,0.19027
pitcher_reverse,21940,2024,5320,0.203008
pitcher_reverse,21940,2025,6362,0.20481
pitcher_reverse,21943,2020,9,0.111111
pitcher_reverse,21943,2021,607,0.261944
pitcher_reverse,21943,2022,1445,0.289273
pitcher_reverse,21943,2023,1889,0.271572
pitcher_reverse,21943,2024,2401,0.279883
pitcher_reverse,21943,2025,3170,0.277918
pitcher_reverse,21955,2020,2907,0.135535
pitcher_reverse,21955,2023,5541,0.18336
pitcher_reverse,21955,2024,8339,0.200024
pitcher_reverse,21955,2025,11114,0.204697
pitcher_reverse,21961,2020,2698,0.12046
pitcher_reverse,21961,2021,5648,0.140227
pitcher_reverse,21961,2023,8504,0.165569
pitcher_reverse,21961,2024,11255,0.183741
pitcher_reverse,21961,2025,13875,0.18818
pitcher_reverse,21978,2020,300,0.2
pitcher_reverse,21978,2021,757,0.178336
pitcher_reverse,21991,2020,164,0.20122
pitcher_reverse,21991,2021,928,0.283405
pitcher_reverse,21991,2022,1172,0.277304
pitcher_reverse,21991,2023,1547,0.271493
pitcher_reverse,21991,2024,1807,0.274488
pitcher_reverse,21991,2025,1875,0.2752
pitcher_reverse,21994,2020,1021,0.179236
pitcher_reverse,21994,2021,1581,0.194181
pitcher_reverse,21994,2022,2345,0.197441
pitcher_reverse,21994,2023,2574,0.198135
pitcher_reverse,21994,2025,2991,0.199933
pitcher_reverse,21998,2020,212,0.169811
pitcher_reverse,21998,2021,1969,0.235653
pitcher_reverse,21998,2022,3827,0.260779
pitcher_reverse,21998,2023,5249,0.255477
pitcher_reverse,21998,2024,6310,0.257528
pitcher_reverse,21998,2025,6687,0.256767
pitcher_reverse,22007,2020,129,0.147287
pitcher_reverse,22007,2021,493,0.115619
pitcher_reverse,22015,2020,92,0.23913
pitcher_reverse,22015,2021,1055,0.274882
pitcher_reverse,22015,2022,1669,0.295986
pitcher_reverse,22015,2023,2086,0.308245
pitcher_reverse,22028,2020,252,0.234127
pitcher_reverse,22028,2021,944,0.240466
pitcher_reverse,22028,2022,1663,0.256164
pitcher_reverse,22028,2023,2168,0.263376
pitcher_reverse,22028,2024,2994,0.274549
pitcher_reverse,22028,2025,4025,0.275776
pitcher_reverse,22029,2020,128,0.164062
pitcher_reverse,22094,2020,913,0.24644
pitcher_reverse,22094,2021,1703,0.295948
pitcher_reverse,22094,2022,2228,0.277828
pitcher_reverse,22094,2023,3109,0.307816
pitcher_reverse,22094,2024,3923,0.298751
pitcher_reverse,22094,2025,4655,0.308056
pitcher_reverse,22099,2020,385,0.231169
pitcher_reverse,22099,2021,509,0.222004
pitcher_reverse,22099,2022,571,0.210158
pitcher_reverse,22110,2020,461,0.0911063
pitcher_reverse,22110,2021,1134,0.108466
pitcher_reverse,22118,2020,1103,0.255666
pitcher_reverse,22118,2021,2239,0.287628
pitcher_reverse,22118,2022,3251,0.308213
pitcher_reverse,22118,2023,3459,0.305291
pitcher_reverse,22118,2024,3507,0.304534
pitcher_reverse,22123,2020,880,0.123864
pitcher_reverse,22123,2021,1510,0.127815
pitcher_reverse,22131,2020,2583,0.0696864
pitcher_reverse,22131,2021,4956,0.072841
pitcher_reverse,22131,2022,6206,0.0836287
pitcher_reverse,22136,2020,421,0.254157
pitcher_reverse,22136,2021,525,0.274286
pitcher_reverse,22136,2022,833,0.2509
pitcher_reverse,22143,2020,923,0.188516
pitcher_reverse,22143,2021,1302,0.183564
pitcher_reverse,22143,2022,1637,0.204643
pitcher_reverse,22143,2023,2002,0.225275
pitcher_reverse,22154,2020,1058,0.183365
pitcher_reverse,22154,2021,1620,0.208642
pitcher_reverse,22154,2022,2144,0.228078
pitcher_reverse,22154,2023,2438,0.227646
pitcher_reverse,22156,2020,171,0.0818713
pitcher_reverse,22163,2020,1912,0.0978033
pitcher_reverse,22163,2021,2911,0.122982
pitcher_reverse,22163,2022,3425,0.133723
pitcher_reverse,22163,2023,5542,0.158246
pitcher_reverse,22163,2024,6803,0.167867
pitcher_reverse,22163,2025,7453,0.174561
pitcher_reverse,22180,2020,200,0.18
pitcher_reverse,22180,2021,775,0.206452
pitcher_reverse,22180,2022,1097,0.229717
pitcher_reverse,22192,2020,2527,0.259596
pitcher_reverse,22192,2021,5388,0.271344
pitcher_reverse,22192,2022,6255,0.27514
pitcher_reverse,22192,2023,7151,0.284016
pitcher_reverse,22192,2024,8868,0.291949
pitcher_reverse,22192,2025,9595,0.292965
pitcher_reverse,22201,2020,872,0.228211
pitcher_reverse,22201,2021,1546,0.236093
pitcher_reverse,22201,2022,1769,0.231769
pitcher_reverse,22201,2023,2144,0.243004
pitcher_reverse,22203,2020,25,0.12
pitcher_reverse,22205,2020,18,0.111111
pitcher_reverse,22205,2021,314,0.16242
pitcher_reverse,22205,2022,494,0.147773
pitcher_reverse,22205,2023,1186,0.177909
pitcher_reverse,22205,2024,1673,0.202032
pitcher_reverse,22205,2025,2477,0.217198
pitcher_reverse,22220,2020,568,0.27993
pitcher_reverse,22231,2020,1112,0.116906
pitcher_reverse,22231,2021,2070,0.141063
pitcher_reverse,22231,2022,3732,0.175241
pitcher_reverse,22231,2023,5525,0.175566
pitcher_reverse,22231,2024,7085,0.191531
pitcher_reverse,22231,2025,7276,0.192826
pitcher_reverse,22233,2020,292,0.222603
pitcher_reverse,22233,2021,321,0.23676
pitcher_reverse,22234,2020,860,0.194186
pitcher_reverse,22234,2021,1341,0.170768
pitcher_reverse,22249,2020,2156,0.209647
pitcher_reverse,22249,2021,3734,0.209159
pitcher_reverse,22249,2022,5306,0.227855
pitcher_reverse,22249,2023,6921,0.247074
pitcher_reverse,22249,2024,8063,0.250527
pitcher_reverse,22249,2025,9877,0.251291
pitcher_reverse,22250,2021,177,0.163842
pitcher_reverse,22253,2020,1073,0.203169
pitcher_reverse,22253,2021,1330,0.211278
pitcher_reverse,22253,2022,1730,0.220231
pitcher_reverse,22253,2023,2506,0.235834
pitcher_reverse,22253,2024,2982,0.241449
pitcher_reverse,22253,2025,3006,0.240852
pitcher_reverse,22254,2020,557,0.127469
pitcher_reverse,22254,2021,1481,0.161377
pitcher_reverse,22254,2022,1874,0.168623
pitcher_reverse,22254,2023,2768,0.17341
pitcher_reverse,22254,2024,3845,0.178153
pitcher_reverse,22254,2025,4952,0.178312
pitcher_reverse,22261,2021,315,0.155556
pitcher_reverse,22261,2022,654,0.139144
pitcher_reverse,22261,2023,1014,0.174556
pitcher_reverse,22261,2024,1045,0.174163
pitcher_reverse,22277,2020,1659,0.203134
pitcher_reverse,22277,2021,4260,0.239202
pitcher_reverse,22277,2022,6230,0.241894
pitcher_reverse,22277,2023,8059,0.241593
pitcher_reverse,22277,2024,10517,0.230769
pitcher_reverse,22277,2025,12742,0.224925
pitcher_reverse,22278,2020,1647,0.306011
pitcher_reverse,22278,2021,2699,0.265283
pitcher_reverse,22278,2022,3915,0.240102
pitcher_reverse,22278,2023,4852,0.235573
pitcher_reverse,22278,2024,5651,0.238188
pitcher_reverse,22278,2025,6479,0.245254
pitcher_reverse,22280,2021,516,0.234496
pitcher_reverse,22280,2022,772,0.244819
pitcher_reverse,22280,2023,934,0.234475
pitcher_reverse,22280,2024,1096,0.222628
pitcher_reverse,22292,2022,403,0.270471
pitcher_reverse,22292,2023,1818,0.285479
pitcher_reverse,22292,2024,2776,0.280259
pitcher_reverse,22292,2025,3997,0.272955
pitcher_reverse,22293,2020,1536,0.139974
pitcher_reverse,22293,2021,2746,0.158776
pitcher_reverse,22293,2022,4018,0.196864
pitcher_reverse,22293,2023,5027,0.211259
pitcher_reverse,22293,2024,6119,0.211472
pitcher_reverse,22293,2025,7180,0.209331
pitcher_reverse,22302,2020,436,0.272936
pitcher_reverse,22302,2021,940,0.189362
pitcher_reverse,22302,2022,1846,0.26598
pitcher_reverse,22302,2023,2618,0.284186
pitcher_reverse,22302,2024,3076,0.291287
pitcher_reverse,22302,2025,3541,0.293138
pitcher_reverse,22305,2023,41,0.219512
pitcher_reverse,22309,2020,1017,0.119961
pitcher_reverse,22309,2021,1106,0.117541
pitcher_reverse,22311,2020,696,0.25431
pitcher_reverse,22311,2021,1115,0.257399
pitcher_reverse,22311,2022,1341,0.284116
pitcher_reverse,22312,2020,41,0.0731707
pitcher_reverse,22312,2021,453,0.253863
pitcher_reverse,22312,2022,1506,0.296149
pitcher_reverse,22312,2023,1664,0.311298
pitcher_reverse,22312,2024,1785,0.312045
pitcher_reverse,22312,2025,1800,0.313333
pitcher_reverse,22318,2020,986,0.204868
pitcher_reverse,22318,2021,2332,0.217839
pitcher_reverse,22318,2022,3184,0.240264
pitcher_reverse,22318,2023,3253,0.237012
pitcher_reverse,22318,2024,4336,0.237315
pitcher_reverse,22318,2025,4865,0.240493
pitcher_reverse,22321,2020,286,0.136364
pitcher_reverse,22332,2022,27,0.296296
pitcher_reverse,22335,2020,764,0.246073
pitcher_reverse,22335,2021,1079,0.245598
pitcher_reverse,22345,2022,22,0.0909091
pitcher_reverse,22349,2020,46,0.0869565
pitcher_reverse,22368,2020,524,0.124046
pitcher_reverse,22368,2021,1247,0.211708
pitcher_reverse,22368,2022,2071,0.233704
pitcher_reverse,22368,2023,2667,0.244094
pitcher_reverse,22368,2024,3098,0.25113
pitcher_reverse,22368,2025,3368,0.255938
pitcher_reverse,22372,2020,14,0.0
pitcher_reverse,22380,2020,844,0.254739
pitcher_reverse,22380,2021,3068,0.206975
pitcher_reverse,22380,2022,5590,0.244544
pitcher_reverse,22380,2023,7673,0.246579
pitcher_reverse,22380,2024,8921,0.24773
pitcher_reverse,22380,2025,9787,0.247471
pitcher_reverse,22389,2020,894,0.170022
pitcher_reverse,22389,2021,3154,0.195625
pitcher_reverse,22389,2022,4554,0.197189
pitcher_reverse,22389,2023,5892,0.208418
pitcher_reverse,22389,2024,7819,0.22343
pitcher_reverse,22389,2025,9140,0.228556
pitcher_reverse,22397,2020,1076,0.153346
pitcher_reverse,22397,2021,2115,0.174468
pitcher_reverse,22397,2022,3215,0.196579
pitcher_reverse,22397,2023,3909,0.206447
pitcher_reverse,22397,2024,5070,0.20927
pitcher_reverse,22397,2025,5940,0.21633
pitcher_reverse,22404,2020,254,0.149606
pitcher_reverse,22404,2021,669,0.186846
pitcher_reverse,22404,2022,1389,0.214543
pitcher_reverse,22404,2023,1429,0.209237
pitcher_reverse,22404,2024,1478,0.207037
pitcher_reverse,22414,2021,443,0.133183
pitcher_reverse,22414,2022,457,0.129103
pitcher_reverse,22414,2023,474,0.124473
pitcher_reverse,22419,2020,1893,0.218172
pitcher_reverse,22419,2021,2859,0.210563
pitcher_reverse,22419,2022,3887,0.226138
pitcher_reverse,22419,2023,4634,0.219896
pitcher_reverse,22419,2024,5718,0.222805
pitcher_reverse,22419,2025,6854,0.221331
pitcher_reverse,22427,2020,1034,0.160542
pitcher_reverse,22427,2021,1727,0.1685
pitcher_reverse,22427,2022,2526,0.177356
pitcher_reverse,22427,2023,2987,0.17777
pitcher_reverse,22427,2024,3356,0.18385
pitcher_reverse,22428,2020,15,0.0
pitcher_reverse,22428,2021,109,0.330275
pitcher_reverse,22428,2022,144,0.270833
pitcher_reverse,22428,2024,335,0.301493
pitcher_reverse,22435,2020,2184,0.122253
pitcher_reverse,22435,2021,4522,0.154799
pitcher_reverse,22435,2022,5380,0.154089
pitcher_reverse,22435,2023,5883,0.156043
pitcher_reverse,22435,2024,7676,0.165842
pitcher_reverse,22435,2025,8732,0.167201
pitcher_reverse,22458,2020,1464,0.200137
pitcher_reverse,22469,2020,1712,0.221379
pitcher_reverse,22469,2022,3142,0.211967
pitcher_reverse,22469,2023,4747,0.189383
pitcher_reverse,22469,2024,5186,0.20806
pitcher_reverse,22469,2025,5863,0.220365
pitcher_reverse,22473,2020,97,0.14433
pitcher_reverse,22473,2021,638,0.167712
pitcher_reverse,22478,2020,811,0.208385
pitcher_reverse,22478,2021,1461,0.229979
pitcher_reverse,22478,2022,2145,0.211189
pitcher_reverse,22478,2023,2264,0.204505
pitcher_reverse,22478,2024,2298,0.206266
pitcher_reverse,22487,2020,1134,0.228395
pitcher_reverse,22491,2020,1025,0.198049
pitcher_reverse,22491,2021,1796,0.194321
pitcher_reverse,22491,2022,1999,0.195598
pitcher_reverse,22491,2023,2231,0.2026
pitcher_reverse,22505,2020,219,0.146119
pitcher_reverse,22505,2021,1054,0.218216
pitcher_reverse,22505,2022,1156,0.202422
pitcher_reverse,22508,2020,709,0.22567
pitcher_reverse,22508,2021,1664,0.198918
pitcher_reverse,22508,2022,2420,0.231405
pitcher_reverse,22508,2025,3084,0.247406
pitcher_reverse,22524,2020,239,0.196653
pitcher_reverse,22525,2020,981,0.258919
pitcher_reverse,22525,2021,1953,0.218638
pitcher_reverse,22525,2022,2375,0.228211
pitcher_reverse,22525,2023,2829,0.224461
pitcher_reverse,22525,2024,3739,0.231078
pitcher_reverse,22525,2025,3988,0.231194
pitcher_reverse,22539,2020,79,0.0886076
pitcher_reverse,22539,2021,185,0.232432
pitcher_reverse,22540,2020,722,0.134349
pitcher_reverse,22540,2021,1691,0.178001
pitcher_reverse,22540,2022,2616,0.197248
pitcher_reverse,22540,2023,3439,0.205292
pitcher_reverse,22540,2025,3521,0.204771
pitcher_reverse,22541,2020,146,0.239726
pitcher_reverse,22541,2021,225,0.24
pitcher_reverse,22541,2022,602,0.257475
pitcher_reverse,22541,2023,794,0.240554
pitcher_reverse,22541,2024,968,0.261364
pitcher_reverse,22541,2025,1064,0.272556
pitcher_reverse,22547,2020,705,0.26383
pitcher_reverse,22547,2021,1666,0.233493
pitcher_reverse,22547,2022,2552,0.24373
pitcher_reverse,22547,2023,3248,0.251539
pitcher_reverse,22547,2024,3854,0.260509
pitcher_reverse,22547,2025,4325,0.260347
pitcher_reverse,22548,2020,247,0.210526
pitcher_reverse,22551,2020,91,0.230769
pitcher_reverse,22575,2020,66,0.106061
pitcher_reverse,22575,2021,947,0.19641
pitcher_reverse,22575,2022,2238,0.246649
pitcher_reverse,22575,2023,3512,0.240604
pitcher_reverse,22575,2024,4353,0.250402
pitcher_reverse,22575,2025,4648,0.254303
pitcher_reverse,22579,2020,54,0.111111
pitcher_reverse,22579,2021,102,0.117647
pitcher_reverse,22579,2022,144,0.0972222
pitcher_reverse,22583,2021,796,0.267588
pitcher_reverse,22583,2022,1467,0.283572
pitcher_reverse,22583,2023,1678,0.281883
pitcher_reverse,22592,2020,960,0.229167
pitcher_reverse,22592,2021,1827,0.238095
pitcher_reverse,22592,2022,2731,0.254486
pitcher_reverse,22592,2023,3688,0.265727
pitcher_reverse,22592,2024,4010,0.266085
pitcher_reverse,22592,2025,4068,0.265733
pitcher_reverse,22595,2020,87,0.390805
pitcher_reverse,22595,2021,763,0.252949
pitcher_reverse,22595,2022,1115,0.255605
pitcher_reverse,22595,2023,1184,0.250845
pitcher_reverse,22595,2024,1447,0.264686
pitcher_reverse,22596,2020,622,0.0868167
pitcher_reverse,22596,2021,855,0.0994152
pitcher_reverse,22596,2022,1372,0.129738
pitcher_reverse,22596,2023,1575,0.129524
pitcher_reverse,22597,2020,220,0.318182
pitcher_reverse,22597,2023,238,0.294118
pitcher_reverse,22597,2024,255,0.286275
pitcher_reverse,22598,2020,926,0.196544
pitcher_reverse,22598,2021,1416,0.199153
pitcher_reverse,22598,2022,1584,0.191919
pitcher_reverse,22598,2023,2248,0.199733
pitcher_reverse,22598,2024,2777,0.210299
pitcher_reverse,22598,2025,3151,0.214535
pitcher_reverse,22615,2022,514,0.274319
pitcher_reverse,22617,2020,116,0.146552
pitcher_reverse,22617,2021,848,0.244104
pitcher_reverse,22617,2022,1508,0.25
pitcher_reverse,22617,2023,1937,0.254517
pitcher_reverse,22617,2024,2777,0.261073
pitcher_reverse,22617,2025,3758,0.265035
pitcher_reverse,22621,2020,79,0.21519
pitcher_reverse,22621,2021,359,0.200557
pitcher_reverse,22621,2022,830,0.23253
pitcher_reverse,22621,2023,1401,0.261956
pitcher_reverse,22621,2024,1728,0.269676
pitcher_reverse,22621,2025,2144,0.259328
pitcher_reverse,22622,2021,244,0.327869
pitcher_reverse,22622,2022,522,0.362069
pitcher_reverse,22624,2020,1004,0.2251
pitcher_reverse,22624,2021,1867,0.232458
pitcher_reverse,22624,2022,3174,0.23661
pitcher_reverse,22624,2023,4083,0.227774
pitcher_reverse,22624,2024,4971,0.233353
pitcher_reverse,22624,2025,6260,0.226997
pitcher_reverse,22640,2020,468,0.220085
pitcher_reverse,22651,2023,691,0.274964
pitcher_reverse,22651,2024,1624,0.262315
pitcher_reverse,22651,2025,4216,0.257116
pitcher_reverse,22666,2020,146,0.123288
pitcher_reverse,22666,2021,688,0.226744
pitcher_reverse,22666,2022,1019,0.248283
pitcher_reverse,22666,2023,1118,0.239714
pitcher_reverse,22667,2020,7,0.142857
pitcher_reverse,22667,2021,116,0.310345
pitcher_reverse,22667,2022,481,0.372141
pitcher_reverse,22667,2023,1467,0.327198
pitcher_reverse,22667,2024,1605,0.319626
pitcher_reverse,22667,2025,2461,0.317351
pitcher_reverse,22668,2020,319,0.131661
pitcher_reverse,22668,2021,1000,0.175
pitcher_reverse,22668,2022,1984,0.231855
pitcher_reverse,22668,2023,4011,0.239092
pitcher_reverse,22668,2024,4647,0.23499
pitcher_reverse,22668,2025,5289,0.233503
pitcher_reverse,22675,2020,835,0.217964
pitcher_reverse,22675,2021,1643,0.231893
pitcher_reverse,22675,2022,2364,0.252115
pitcher_reverse,22675,2023,2793,0.249194
pitcher_reverse,22675,2024,3027,0.253056
pitcher_reverse,22675,2025,3416,0.25966
pitcher_reverse,22703,2020,2932,0.171896
pitcher_reverse,22708,2020,1170,0.217949
pitcher_reverse,22708,2021,3630,0.24022
pitcher_reverse,22708,2022,6296,0.251112
pitcher_reverse,22708,2023,9048,0.25431
pitcher_reverse,22708,2024,10015,0.256615
pitcher_reverse,22708,2025,10201,0.255367
pitcher_reverse,22710,2021,96,0.229167
pitcher_reverse,22710,2022,1021,0.215475
pitcher_reverse,22710,2023,1973,0.209326
pitcher_reverse,22710,2024,2885,0.209012
pitcher_reverse,22710,2025,3959,0.204597
pitcher_reverse,22717,2020,480,0.235417
pitcher_reverse,22717,2021,950,0.290526
pitcher_reverse,22717,2022,2227,0.295465
pitcher_reverse,22717,2023,3261,0.286722
pitcher_reverse,22717,2024,3278,0.28676
pitcher_reverse,22717,2025,3440,0.286047
pitcher_reverse,22720,2022,2407,0.282094
pitcher_reverse,22720,2023,5024,0.316083
pitcher_reverse,22720,2024,7477,0.315233
pitcher_reverse,22720,2025,9086,0.311798
pitcher_reverse,22721,2022,743,0.204576
pitcher_reverse,22721,2023,1439,0.231411
pitcher_reverse,22721,2024,2240,0.240625
pitcher_reverse,22722,2021,30,0.266667
pitcher_reverse,22722,2022,108,0.138889
pitcher_reverse,22729,2020,1333,0.23856
pitcher_reverse,22729,2021,3059,0.224583
pitcher_reverse,22729,2022,3983,0.230731
pitcher_reverse,22729,2023,5196,0.239607
pitcher_reverse,22729,2024,5423,0.239167
pitcher_reverse,22729,2025,6773,0.233427
pitcher_reverse,22730,2020,671,0.210134
pitcher_reverse,22730,2022,1582,0.244627
pitcher_reverse,22730,2023,3905,0.247375
pitcher_reverse,22730,2024,5695,0.251975
pitcher_reverse,22730,2025,8484,0.255776
pitcher_reverse,22731,2021,160,0.20625
pitcher_reverse,22731,2022,662,0.225076
pitcher_reverse,22731,2023,746,0.214477
pitcher_reverse,22734,2020,921,0.230185
pitcher_reverse,22734,2022,960,0.220833
pitcher_reverse,22734,2023,1091,0.212649
pitcher_reverse,22734,2024,1270,0.234646
pitcher_reverse,22735,2020,1111,0.185419
pitcher_reverse,22735,2021,2206,0.205802
pitcher_reverse,22735,2022,3338,0.224386
pitcher_reverse,22735,2023,4486,0.232724
pitcher_reverse,22735,2024,5745,0.228721
pitcher_reverse,22735,2025,6577,0.229892
pitcher_reverse,22738,2020,651,0.184332
pitcher_reverse,22738,2021,1625,0.214769
pitcher_reverse,22738,2022,2668,0.244003
pitcher_reverse,22738,2023,3737,0.242976
pitcher_reverse,22738,2024,4906,0.240114
pitcher_reverse,22738,2025,6044,0.243878
pitcher_reverse,22739,2022,7,0.0
pitcher_reverse,22741,2020,1053,0.131054
pitcher_reverse,22741,2021,2197,0.146563
pitcher_reverse,22741,2022,2930,0.153584
pitcher_reverse,22741,2023,3684,0.162866
pitcher_reverse,22741,2024,4398,0.168258
pitcher_reverse,22741,2025,5317,0.168704
pitcher_reverse,22742,2020,152,0.157895
pitcher_reverse,22742,2023,206,0.179612
pitcher_reverse,22743,2020,693,0.183261
pitcher_reverse,22743,2021,1711,0.19287
pitcher_reverse,22743,2022,2799,0.203644
pitcher_reverse,22743,2023,3819,0.216287
pitcher_reverse,22743,2024,4824,0.231551
pitcher_reverse,22743,2025,5916,0.244591
pitcher_reverse,22759,2020,995,0.18995
pitcher_reverse,22759,2021,3523,0.21459
pitcher_reverse,22759,2022,6132,0.240215
pitcher_reverse,22759,2023,8731,0.236628
pitcher_reverse,22759,2024,11361,0.239504
pitcher_reverse,22759,2025,14287,0.236019
pitcher_reverse,22761,2020,148,0.0743243
pitcher_reverse,22761,2021,741,0.176788
pitcher_reverse,22761,2022,1388,0.213256
pitcher_reverse,22761,2023,1737,0.218192
pitcher_reverse,22761,2024,2387,0.218266
pitcher_reverse,22761,2025,2927,0.221387
pitcher_reverse,22763,2021,3,0.0
pitcher_reverse,22763,2022,23,0.0
pitcher_reverse,22772,2020,1177,0.17672
pitcher_reverse,22772,2021,1843,0.204558
pitcher_reverse,22772,2022,2592,0.219136
pitcher_reverse,22772,2023,3182,0.22973
pitcher_reverse,22772,2024,3662,0.235937
pitcher_reverse,22772,2025,3689,0.235836
pitcher_reverse,22776,2020,265,0.14717
pitcher_reverse,22776,2021,579,0.16753
pitcher_reverse,22782,2020,1975,0.184304
pitcher_reverse,22782,2021,3179,0.189682
pitcher_reverse,22782,2022,4532,0.208517
pitcher_reverse,22782,2023,5669,0.214147
pitcher_reverse,22782,2024,6766,0.218593
pitcher_reverse,22782,2025,7508,0.221231
pitcher_reverse,22784,2020,29,0.37931
pitcher_reverse,22784,2021,230,0.282609
pitcher_reverse,22785,2021,68,0.147059
pitcher_reverse,22785,2022,825,0.232727
pitcher_reverse,22785,2023,866,0.224018
pitcher_reverse,22785,2024,956,0.232218
pitcher_reverse,22786,2020,40,0.075
pitcher_reverse,22795,2020,206,0.237864
pitcher_reverse,22795,2022,698,0.10745
pitcher_reverse,22795,2023,1074,0.075419
pitcher_reverse,22795,2024,1129,0.0876882
pitcher_reverse,22810,2020,792,0.122475
pitcher_reverse,22810,2021,806,0.121588
pitcher_reverse,22815,2020,182,0.153846
pitcher_reverse,22815,2021,297,0.16835
pitcher_reverse,22820,2020,1374,0.219068
