global_player_mapping_key,role,train_player_id,current_trackman_player_id,global_player_mapping_status,global_player_mapping_status_ko,global_representative_trackman_player_id,global_exact_candidates,global_exact_candidate_count,global_reverse_train_player_count,global_exact_top_rows,global_exact_top_games,global_exact_total_rows,global_exact_total_games,global_exact_purity,global_exact_strict_contexts,final_linked_role_observations,final_linked_games,final_confirmed_id_matches,final_confirmed_id_mismatches,train_role_observations,train_games,train_strict_contexts
43,batter,21945,77243,confirmed_global_exact,역할별 전역 exact 양방향 확정,77243,77243:1183rows/149games,1,1,1183,149,1183,149,1.0,7,2239,267,2238,1,2371,281,10
44,batter,21947,77248,confirmed_global_exact,역할별 전역 exact 양방향 확정,77248,77248:1009rows/100games,1,1,1009,100,1009,100,1.0,6,1841,177,1841,0,2030,198,7
45,batter,21968,77564,confirmed_global_exact,역할별 전역 exact 양방향 확정,77564,77564:4258rows/320games,1,1,4258,320,4258,320,1.0,10,6534,488,6531,3,7294,539,11
46,batter,21980,77463,confirmed_global_exact,역할별 전역 exact 양방향 확정,77463,77463:762rows/75games,1,1,762,75,762,75,1.0,3,1270,120,1270,0,1381,130,3
47,batter,21990,78548,confirmed_global_exact,역할별 전역 exact 양방향 확정,78548,78548:5937rows/420games,1,1,5937,420,5937,420,1.0,6,9895,699,9890,5,10729,752,6
48,batter,21992,78513,confirmed_global_exact,역할별 전역 exact 양방향 확정,78513,78513:6852rows/443games,1,1,6852,443,6852,443,1.0,6,11458,728,11457,1,12609,796,7
49,batter,21996,78135,confirmed_global_exact,역할별 전역 exact 양방향 확정,78135,78135:4163rows/296games,1,1,4163,296,4163,296,1.0,11,6543,464,6543,0,7234,507,11
50,batter,21999,78122,confirmed_global_exact,역할별 전역 exact 양방향 확정,78122,78122:2158rows/223games,1,1,2158,223,2158,223,1.0,7,3442,356,3442,0,4559,469,8
51,batter,22002,60100,confirmed_global_exact,역할별 전역 exact 양방향 확정,60100,60100:204rows/18games,1,1,204,18,204,18,1.0,2,257,21,257,0,303,25,2
52,batter,22006,78813,confirmed_global_exact,역할별 전역 exact 양방향 확정,78813,78813:1114rows/94games,1,1,1114,94,1114,94,1.0,4,1789,147,1787,2,1972,166,4
53,batter,22013,78224,confirmed_global_exact,역할별 전역 exact 양방향 확정,78224,78224:7469rows/480games,1,1,7469,480,7469,480,1.0,6,11824,744,11821,3,12955,808,6
54,batter,22016,78217,confirmed_global_exact,역할별 전역 exact 양방향 확정,78217,78217:731rows/97games,1,1,731,97,731,97,1.0,4,1154,154,1154,0,1259,170,4
55,batter,22021,78629,confirmed_global_exact,역할별 전역 exact 양방향 확정,78629,78629:1222rows/82games,1,1,1222,82,1222,82,1.0,3,1648,113,1648,0,3314,226,5
56,batter,22025,78643,confirmed_global_exact,역할별 전역 exact 양방향 확정,78643,78643:566rows/51games,1,1,566,51,566,51,1.0,6,805,81,805,0,1235,124,8
57,batter,22026,78603,confirmed_global_exact,역할별 전역 exact 양방향 확정,78603,78603:3672rows/232games,1,1,3672,232,3672,232,1.0,6,5454,346,5454,0,11099,709,6
58,batter,22038,78756,confirmed_global_exact,역할별 전역 exact 양방향 확정,78756,78756:2828rows/241games,1,1,2828,241,2828,241,1.0,9,4568,368,4567,1,5095,408,9
59,batter,22064,78566,confirmed_global_exact,역할별 전역 exact 양방향 확정,78566,78566:48rows/3games,1,1,48,3,48,3,1.0,2,81,7,78,3,95,8,2
60,batter,22066,77532,confirmed_global_exact,역할별 전역 exact 양방향 확정,77532,77532:7587rows/465games,1,1,7587,465,7587,465,1.0,6,11811,720,11811,0,12781,775,6
61,batter,22101,79198,confirmed_global_exact,역할별 전역 exact 양방향 확정,79198,79198:125rows/33games,1,1,125,33,125,33,1.0,1,179,47,179,0,209,51,1
62,batter,22102,79192,confirmed_global_exact,역할별 전역 exact 양방향 확정,79192,79192:7204rows/465games,1,1,7204,465,7204,465,1.0,8,10680,686,10678,2,11662,747,9
63,batter,22103,79109,confirmed_global_exact,역할별 전역 exact 양방향 확정,79109,79109:7939rows/489games,1,1,7939,489,7939,489,1.0,6,11902,725,11902,0,12887,782,9
64,batter,22104,79113,confirmed_global_exact,역할별 전역 exact 양방향 확정,79113,79113:125rows/13games,1,1,125,13,125,13,1.0,3,186,17,186,0,319,33,4
65,batter,22106,79150,confirmed_global_exact,역할별 전역 exact 양방향 확정,79150,79150:2802rows/253games,1,1,2802,253,2802,253,1.0,7,4707,417,4706,1,5372,477,8
66,batter,22109,79608,confirmed_global_exact,역할별 전역 exact 양방향 확정,79608,79608:5963rows/387games,1,1,5963,387,5963,387,1.0,6,9720,624,9717,3,11347,728,6
67,batter,22126,79240,confirmed_global_exact,역할별 전역 exact 양방향 확정,79240,79240:6283rows/435games,1,1,6283,435,6283,435,1.0,7,9919,673,9919,0,10967,736,7
68,batter,22127,79215,confirmed_global_exact,역할별 전역 exact 양방향 확정,79215,79215:6567rows/415games,1,1,6567,415,6567,415,1.0,7,10400,659,10400,0,11253,712,7
69,batter,22130,79231,confirmed_global_exact,역할별 전역 exact 양방향 확정,79231,79231:7240rows/450games,1,1,7240,450,7240,450,1.0,6,11090,690,11090,0,12230,754,6
70,batter,22132,79234,confirmed_global_exact,역할별 전역 exact 양방향 확정,79234,79234:38rows/6games,1,1,38,6,38,6,1.0,2,76,10,76,0,76,10,2
71,batter,22133,79402,confirmed_global_exact,역할별 전역 exact 양방향 확정,79402,79402:6311rows/404games,1,1,6311,404,6311,404,1.0,8,10033,639,10033,0,10936,693,8
72,batter,22137,79465,confirmed_global_exact,역할별 전역 exact 양방향 확정,79465,79465:166rows/15games,1,1,166,15,166,15,1.0,2,299,27,299,0,394,34,2
73,batter,22144,79334,confirmed_global_exact,역할별 전역 exact 양방향 확정,79334,79334:1166rows/75games,1,1,1166,75,1166,75,1.0,3,1550,105,1550,0,1821,125,3
74,batter,22146,79365,confirmed_global_exact,역할별 전역 exact 양방향 확정,79365,79365:5860rows/410games,1,1,5860,410,5860,410,1.0,7,9007,629,9007,0,10524,733,9
75,batter,22148,79300,confirmed_global_exact,역할별 전역 exact 양방향 확정,79300,79300:95rows/16games,1,1,95,16,95,16,1.0,2,210,32,210,0,217,34,2
76,batter,22160,79705,confirmed_global_exact,역할별 전역 exact 양방향 확정,79705,79705:507rows/49games,1,1,507,49,507,49,1.0,4,715,72,715,0,724,73,4
77,batter,22182,79456,confirmed_global_exact,역할별 전역 exact 양방향 확정,79456,79456:3996rows/375games,1,1,3996,375,3996,375,1.0,7,6297,597,6294,3,6824,643,7
78,batter,22208,,conflict_reverse_multiple_train_ids,Trackman ID가 복수 Train 선수로 역매핑,60343,60343:593rows/73games,1,2,593,73,593,73,1.0,7,910,107,0,0,991,116,8
79,batter,22221,60648,confirmed_global_exact,역할별 전역 exact 양방향 확정,60648,60648:31rows/2games,1,1,31,2,31,2,1.0,1,68,5,68,0,117,12,2
80,batter,22225,60605,confirmed_global_exact,역할별 전역 exact 양방향 확정,60605,60605:56rows/7games,1,1,56,7,56,7,1.0,2,97,10,97,0,123,14,2
81,batter,22238,60805,confirmed_global_exact,역할별 전역 exact 양방향 확정,60805,60805:27rows/2games,1,1,27,2,27,2,1.0,1,59,5,59,0,86,7,2
82,batter,22245,60558,confirmed_global_exact,역할별 전역 exact 양방향 확정,60558,60558:3527rows/322games,1,1,3527,322,3527,322,1.0,7,6108,544,6107,1,6675,585,7
83,batter,22258,60184,confirmed_global_exact,역할별 전역 exact 양방향 확정,60184,60184:51rows/6games,1,1,51,6,51,6,1.0,3,119,14,119,0,123,14,3
84,batter,22269,60523,confirmed_global_exact,역할별 전역 exact 양방향 확정,60523,60523:5017rows/338games,1,1,5017,338,5017,338,1.0,8,8293,555,8288,5,9004,598,8
85,batter,22281,61114,confirmed_global_exact,역할별 전역 exact 양방향 확정,61114,61114:216rows/20games,1,1,216,20,216,20,1.0,2,539,42,539,0,877,67,2
86,batter,22283,61102,confirmed_global_exact,역할별 전역 exact 양방향 확정,61102,61102:5515rows/426games,1,1,5515,426,5515,426,1.0,7,8565,651,8559,6,9315,709,8
87,batter,22284,61104,confirmed_global_exact,역할별 전역 exact 양방향 확정,61104,61104:15rows/3games,1,1,15,3,15,3,1.0,1,94,13,94,0,114,15,2
88,batter,22287,61186,confirmed_global_exact,역할별 전역 exact 양방향 확정,61186,61186:3159rows/220games,1,1,3159,220,3159,220,1.0,8,4888,343,4887,1,5462,379,8
89,batter,22288,61197,confirmed_global_exact,역할별 전역 exact 양방향 확정,61197,61197:1145rows/121games,1,1,1145,121,1145,121,1.0,5,1908,191,1907,1,2126,213,5
90,batter,22315,61404,confirmed_global_exact,역할별 전역 exact 양방향 확정,61404,61404:3837rows/289games,1,1,3837,289,3837,289,1.0,8,6125,456,6125,0,6619,489,8
91,batter,22322,61360,confirmed_global_exact,역할별 전역 exact 양방향 확정,61360,61360:20rows/1games,1,1,20,1,20,1,1.0,1,47,3,47,0,47,3,1
92,batter,22323,61353,confirmed_global_exact,역할별 전역 exact 양방향 확정,61353,61353:2715rows/235games,1,1,2715,235,2715,235,1.0,6,4353,381,4351,2,5391,509,9
93,batter,22332,61700,confirmed_global_exact,역할별 전역 exact 양방향 확정,61700,61700:1003rows/92games,1,1,1003,92,1003,92,1.0,4,1541,138,1541,0,1778,158,6
94,batter,22333,61743,confirmed_global_exact,역할별 전역 exact 양방향 확정,61743,61743:600rows/73games,1,1,600,73,600,73,1.0,7,1182,135,1181,1,1353,151,9
95,batter,22344,61204,confirmed_global_exact,역할별 전역 exact 양방향 확정,61204,61204:372rows/48games,1,1,372,48,372,48,1.0,2,517,70,517,0,571,77,3
96,batter,22345,61208,confirmed_global_exact,역할별 전역 exact 양방향 확정,61208,61208:1310rows/114games,1,1,1310,114,1310,114,1.0,3,2156,183,2156,0,2348,200,4
97,batter,22353,61566,confirmed_global_exact,역할별 전역 exact 양방향 확정,61566,61566:660rows/73games,1,1,660,73,660,73,1.0,3,925,104,922,3,1019,118,3
98,batter,22374,62164,confirmed_global_exact,역할별 전역 exact 양방향 확정,62164,62164:322rows/28games,1,1,322,28,322,28,1.0,2,568,46,568,0,680,54,2
99,batter,22379,62700,confirmed_global_exact,역할별 전역 exact 양방향 확정,62700,62700:3131rows/235games,1,1,3131,235,3131,235,1.0,7,5402,385,5401,1,5928,421,7
100,batter,22382,62797,confirmed_global_exact,역할별 전역 exact 양방향 확정,62797,62797:433rows/42games,1,1,433,42,433,42,1.0,4,671,64,671,0,754,71,4
101,batter,22392,62353,confirmed_global_exact,역할별 전역 exact 양방향 확정,62353,62353:405rows/49games,1,1,405,49,405,49,1.0,3,596,75,596,0,680,85,5
102,batter,22394,62356,confirmed_global_exact,역할별 전역 exact 양방향 확정,62356,62356:907rows/80games,1,1,907,80,907,80,1.0,3,1261,117,1261,0,1467,133,3
103,batter,22396,62332,confirmed_global_exact,역할별 전역 exact 양방향 확정,62332,62332:1071rows/104games,1,1,1071,104,1071,104,1.0,7,1654,176,1653,1,1848,197,9
104,batter,22410,62404,confirmed_global_exact,역할별 전역 exact 양방향 확정,62404,62404:6961rows/422games,1,1,6961,422,6961,422,1.0,7,11112,664,11112,0,12304,730,7
105,batter,22416,62468,confirmed_global_exact,역할별 전역 exact 양방향 확정,62468,62468:37rows/2games,1,1,37,2,37,2,1.0,1,37,2,37,0,55,4,1
106,batter,22420,62556,confirmed_global_exact,역할별 전역 exact 양방향 확정,62556,62556:2427rows/225games,1,1,2427,225,2427,225,1.0,7,3900,371,3898,2,4281,405,8
107,batter,22424,62558,confirmed_global_exact,역할별 전역 exact 양방향 확정,62558,62558:2491rows/214games,1,1,2491,214,2491,214,1.0,9,4180,372,4178,2,4460,398,9
108,batter,22425,,unanchored_no_exact_evidence,exact 선수 매핑 근거 없음,,,0,0,0,0,0,0,,0,16,2,0,0,16,2,1
109,batter,22429,62234,confirmed_global_exact,역할별 전역 exact 양방향 확정,62234,62234:3401rows/246games,1,1,3401,246,3401,246,1.0,8,5333,381,5332,1,7713,552,8
110,batter,22430,62244,confirmed_global_exact,역할별 전역 exact 양방향 확정,62244,62244:4767rows/391games,1,1,4767,391,4767,391,1.0,6,7294,579,7290,4,7898,625,6
111,batter,22432,62265,confirmed_global_exact,역할별 전역 exact 양방향 확정,62265,62265:1097rows/80games,1,1,1097,80,1097,80,1.0,4,1476,104,1476,0,2924,214,4
112,batter,22435,,unanchored_no_exact_evidence,exact 선수 매핑 근거 없음,,,0,0,0,0,0,0,,0,0,0,0,0,5,1,1
113,batter,22436,62864,confirmed_global_exact,역할별 전역 exact 양방향 확정,62864,62864:2421rows/207games,1,1,2421,207,2421,207,1.0,8,3742,319,3742,0,5539,463,8
114,batter,22439,62893,confirmed_global_exact,역할별 전역 exact 양방향 확정,62893,62893:53rows/7games,1,1,53,7,53,7,1.0,3,76,9,76,0,217,27,6
115,batter,22442,62884,confirmed_global_exact,역할별 전역 exact 양방향 확정,62884,62884:1429rows/127games,1,1,1429,127,1429,127,1.0,9,2532,222,2532,0,2758,242,11
116,batter,22443,62895,confirmed_global_exact,역할별 전역 exact 양방향 확정,62895,62895:6071rows/383games,1,1,6071,383,6071,383,1.0,6,10246,649,10246,0,11053,697,8
117,batter,22454,76368,confirmed_global_exact,역할별 전역 exact 양방향 확정,76368,76368:96rows/13games,1,1,96,13,96,13,1.0,2,173,21,173,0,245,35,2
118,batter,22455,,conflict_multiple_trackman_ids,한 Train 선수에 복수 Trackman ID,78288,78288:5875rows/423games;60343:7rows/1games;75808:3rows/1games,3,1,5875,423,5885,423,0.9983007646559049,7,9384,655,0,0,10327,715,7
119,batter,22460,77654,confirmed_global_exact,역할별 전역 exact 양방향 확정,77654,77654:94rows/11games,1,1,94,11,94,11,1.0,2,182,20,182,0,195,22,2
120,batter,22468,63123,confirmed_global_exact,역할별 전역 exact 양방향 확정,63123,63123:4323rows/311games,1,1,4323,311,4323,311,1.0,5,6453,464,6447,6,7124,504,7
121,batter,22499,63339,confirmed_global_exact,역할별 전역 exact 양방향 확정,63339,63339:9rows/2games,1,1,9,2,9,2,1.0,1,43,6,43,0,70,10,2
122,batter,22500,78168,confirmed_global_exact,역할별 전역 exact 양방향 확정,78168,78168:4958rows/328games,1,1,4958,328,4958,328,1.0,10,8402,543,8401,1,9838,646,11
123,batter,22502,,conflict_multiple_trackman_ids,한 Train 선수에 복수 Trackman ID,78361,78361:926rows/105games;50108:6rows/1games,2,1,926,105,932,105,0.9935622317596566,7,1835,201,0,0,2434,249,7
124,batter,22514,79290,confirmed_global_exact,역할별 전역 exact 양방향 확정,79290,79290:365rows/42games,1,1,365,42,365,42,1.0,6,665,74,665,0,729,81,8
125,batter,22521,63202,confirmed_global_exact,역할별 전역 exact 양방향 확정,63202,63202:1286rows/147games,1,1,1286,147,1286,147,1.0,7,2091,230,2085,6,2241,245,9
126,batter,22522,63257,confirmed_global_exact,역할별 전역 exact 양방향 확정,63257,63257:2228rows/203games,1,1,2228,203,2228,203,1.0,8,3901,344,3901,0,4311,374,9
127,batter,22523,63260,confirmed_global_exact,역할별 전역 exact 양방향 확정,63260,63260:1756rows/145games,1,1,1756,145,1756,145,1.0,9,2676,213,2674,2,5337,432,10
128,batter,22542,63722,confirmed_global_exact,역할별 전역 exact 양방향 확정,63722,63722:1409rows/114games,1,1,1409,114,1409,114,1.0,6,2096,168,2096,0,4186,345,7
129,batter,22553,63634,confirmed_global_exact,역할별 전역 exact 양방향 확정,63634,63634:286rows/32games,1,1,286,32,286,32,1.0,5,586,67,586,0,627,71,5
130,batter,22571,62409,confirmed_global_exact,역할별 전역 exact 양방향 확정,62409,62409:403rows/37games,1,1,403,37,403,37,1.0,3,586,58,586,0,633,63,3
131,batter,22574,63435,confirmed_global_exact,역할별 전역 exact 양방향 확정,63435,63435:163rows/20games,1,1,163,20,163,20,1.0,4,338,37,338,0,340,38,7
132,batter,22576,63450,confirmed_global_exact,역할별 전역 exact 양방향 확정,63450,63450:625rows/68games,1,1,625,68,625,68,1.0,5,1222,131,1222,0,1322,140,7
133,batter,22605,62931,confirmed_global_exact,역할별 전역 exact 양방향 확정,62931,62931:4909rows/349games,1,1,4909,349,4909,349,1.0,7,8296,586,8296,0,8987,631,7
134,batter,22606,62907,confirmed_global_exact,역할별 전역 exact 양방향 확정,62907,62907:6411rows/391games,1,1,6411,391,6411,391,1.0,6,9909,601,9908,1,10659,643,6
135,batter,22607,62925,confirmed_global_exact,역할별 전역 exact 양방향 확정,62925,62925:2607rows/216games,1,1,2607,216,2607,216,1.0,10,4525,379,4517,8,4948,409,11
136,batter,22610,62947,confirmed_global_exact,역할별 전역 exact 양방향 확정,62947,62947:4131rows/252games,1,1,4131,252,4131,252,1.0,6,6966,417,6966,0,10043,601,6
137,batter,22611,62921,confirmed_global_exact,역할별 전역 exact 양방향 확정,62921,62921:31rows/3games,1,1,31,3,31,3,1.0,1,31,3,31,0,31,3,1
138,batter,22612,,conflict_multiple_trackman_ids,한 Train 선수에 복수 Trackman ID,62934,62934:3006rows/250games;63963:2rows/1games,2,1,3006,250,3008,250,0.9993351063829787,5,4348,358,0,0,4683,383,5
139,batter,22613,62917,confirmed_global_exact,역할별 전역 exact 양방향 확정,62917,62917:287rows/20games,1,1,287,20,287,20,1.0,1,478,38,478,0,851,65,1
140,batter,22621,63960,confirmed_global_exact,역할별 전역 exact 양방향 확정,63960,63960:3rows/1games,1,1,3,1,3,1,1.0,1,3,1,3,0,3,1,1
141,batter,22626,60566,confirmed_global_exact,역할별 전역 exact 양방향 확정,60566,60566:1119rows/157games,1,1,1119,157,1119,157,1.0,7,2156,269,2154,2,2428,300,7
142,batter,22628,63905,confirmed_global_exact,역할별 전역 exact 양방향 확정,63905,63905:1180rows/120games,1,1,1180,120,1180,120,1.0,6,1739,178,1739,0,1883,194,7
143,batter,22629,63903,confirmed_global_exact,역할별 전역 exact 양방향 확정,63903,63903:108rows/9games,1,1,108,9,108,9,1.0,3,124,10,124,0,130,12,4
144,batter,22632,,conflict_reverse_multiple_train_ids,Trackman ID가 복수 Train 선수로 역매핑,63963,63963:5944rows/360games,1,2,5944,360,5944,360,1.0,6,9066,551,0,0,9576,583,6
145,batter,22660,62415,confirmed_global_exact,역할별 전역 exact 양방향 확정,62415,62415:8419rows/512games,1,1,8419,512,8419,512,1.0,6,12949,771,12949,0,13928,831,7
146,batter,22664,,conflict_reverse_multiple_train_ids,Trackman ID가 복수 Train 선수로 역매핑,64610,64610:1924rows/163games,1,2,1924,163,1924,163,1.0,7,3216,273,0,0,3648,302,8
147,batter,22671,64300,confirmed_global_exact,역할별 전역 exact 양방향 확정,64300,64300:2779rows/165games,1,1,2779,165,2779,165,1.0,2,4202,252,4202,0,4650,277,2
148,batter,22674,63920,confirmed_global_exact,역할별 전역 exact 양방향 확정,63920,63920:2073rows/122games,1,1,2073,122,2073,122,1.0,8,3205,198,3203,2,3496,213,8
149,batter,22679,64499,confirmed_global_exact,역할별 전역 exact 양방향 확정,64499,64499:158rows/22games,1,1,158,22,158,22,1.0,5,306,37,306,0,361,41,6
150,batter,22682,61554,confirmed_global_exact,역할별 전역 exact 양방향 확정,61554,61554:823rows/70games,1,1,823,70,823,70,1.0,6,1479,124,1474,5,1685,143,6
151,batter,22683,61366,confirmed_global_exact,역할별 전역 exact 양방향 확정,61366,61366:44rows/4games,1,1,44,4,44,4,1.0,1,126,10,126,0,186,13,1
152,batter,22684,64706,confirmed_global_exact,역할별 전역 exact 양방향 확정,64706,64706:43rows/6games,1,1,43,6,43,6,1.0,2,117,14,117,0,178,19,2
153,batter,22690,64560,confirmed_global_exact,역할별 전역 exact 양방향 확정,64560,64560:2513rows/173games,1,1,2513,173,2513,173,1.0,6,3667,257,3665,2,7167,518,7
154,batter,22693,64153,confirmed_global_exact,역할별 전역 exact 양방향 확정,64153,64153:5556rows/352games,1,1,5556,352,5556,352,1.0,6,8416,518,8408,8,9246,566,6
155,batter,22695,65132,confirmed_global_exact,역할별 전역 exact 양방향 확정,65132,65132:1408rows/121games,1,1,1408,121,1408,121,1.0,10,2374,211,2374,0,3093,263,10
