season,game_type,train_team_id,trackman_team_name,mapping_status
2021,R,17,HAN_EAG,confirmed_exact
2021,R,18,SAM_LIO,confirmed_exact
2021,R,19,NC_DIN,confirmed_exact
2021,R,20,KT_WIZ,confirmed_exact
2021,R,21,SSG_LAN,confirmed_exact
2022,F,12,MIN_DOO,confirmed_exact
2022,F,13,MIN_LGT,confirmed_exact
2022,F,14,MIN_HER,consistent_final_only
2022,F,15,MIN_LOT,consistent_final_only
2022,F,16,MIN_KIA,consistent_final_only
2022,F,17,MIN_HAN,confirmed_exact
2022,F,18,MIN_SAM,confirmed_exact
2022,F,19,MIN_NCD,confirmed_exact
2022,F,20,MIN_KTW,confirmed_exact
2022,F,21,MIN_SSG,confirmed_exact
2022,F,23,KBO_ARM,consistent_final_only
2022,R,12,DOO_BEA,confirmed_exact
2022,R,13,LG_TWI,confirmed_exact
2022,R,14,KIW_HER,confirmed_exact
2022,R,15,LOT_GIA,confirmed_exact
2022,R,16,KIA_TIG,confirmed_exact
2022,R,17,HAN_EAG,confirmed_exact
2022,R,18,SAM_LIO,confirmed_exact
2022,R,19,NC_DIN,confirmed_exact
2022,R,20,KT_WIZ,confirmed_exact
2022,R,21,SSG_LAN,confirmed_exact
2023,F,12,MIN_DOO,confirmed_exact
2023,F,13,MIN_LGT,confirmed_exact
2023,F,14,MIN_HER,confirmed_exact
2023,F,15,MIN_LOT,confirmed_exact
2023,F,16,MIN_KIA,confirmed_exact
2023,F,17,MIN_HAN,confirmed_exact
2023,F,18,MIN_SAM,confirmed_exact
2023,F,19,MIN_NCD,confirmed_exact
2023,F,20,MIN_KTW,consistent_final_only
2023,F,21,MIN_SSG,confirmed_exact
2023,F,23,KBO_ARM,consistent_final_only
2023,R,12,DOO_BEA,confirmed_exact
2023,R,13,LG_TWI,confirmed_exact
2023,R,14,KIW_HER,confirmed_exact
2023,R,15,LOT_GIA,confirmed_exact
2023,R,16,KIA_TIG,confirmed_exact
2023,R,17,HAN_EAG,confirmed_exact
2023,R,18,SAM_LIO,confirmed_exact
2023,R,19,NC_DIN,confirmed_exact
2023,R,20,KT_WIZ,confirmed_exact
2023,R,21,SSG_LAN,confirmed_exact
2024,F,12,MIN_DOO,confirmed_exact
2024,F,13,MIN_LGT,confirmed_exact
2024,F,14,MIN_HER,confirmed_exact
2024,F,15,MIN_LOT,confirmed_exact
2024,F,16,MIN_KIA,confirmed_exact
2024,F,17,MIN_HAN,confirmed_exact
2024,F,18,MIN_SAM,confirmed_exact
2024,F,19,MIN_NCD,confirmed_exact
2024,F,20,MIN_KTW,confirmed_exact
2024,F,21,MIN_SSG,confirmed_exact
2024,F,23,KBO_ARM,confirmed_exact
2024,F,25,,unresolved_no_final_link
2024,R,12,DOO_BEA,confirmed_exact
2024,R,13,LG_TWI,confirmed_exact
2024,R,14,KIW_HER,confirmed_exact
2024,R,15,LOT_GIA,confirmed_exact
2024,R,16,KIA_TIG,confirmed_exact
2024,R,17,HAN_EAG,confirmed_exact
2024,R,18,SAM_LIO,confirmed_exact
2024,R,19,NC_DIN,confirmed_exact
2024,R,20,KT_WIZ,confirmed_exact
2024,R,21,SSG_LAN,confirmed_exact
