player_mapping_key,role,season,game_type,train_team_id,train_player_id,trackman_team_name,current_trackman_player_id,player_mapping_status,player_mapping_status_ko,mapping_basis,team_mapping_status,strict_representative_trackman_player_id,strict_exact_candidates,strict_exact_candidate_count,strict_reverse_train_player_count,strict_exact_top_rows,strict_exact_top_games,strict_exact_total_rows,strict_exact_total_games,strict_exact_purity,global_representative_trackman_player_id,global_exact_candidates,global_exact_candidate_count,global_reverse_train_player_count,global_exact_top_rows,global_exact_top_games,global_exact_total_rows,global_exact_total_games,global_exact_purity,global_exact_strict_contexts,final_observed_trackman_player_candidates,final_linked_role_observations,final_linked_games,final_confirmed_id_matches,final_confirmed_id_mismatches,train_role_observations,train_games
37,batter,2019,F,13,22374,MIN_LGT,62164,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,62164,MIN_LGT/62164:236rows/18games,1,1,236,18,236,18,1.0,62164,62164:322rows/28games,1,1,322,28,322,28,1.0,2,62164:480rows/35games,480,35,480,0,583,41
38,batter,2019,F,13,22502,MIN_LGT,78361,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,78361,MIN_LGT/78361:118rows/7games,1,1,118,7,118,7,1.0,78361,78361:926rows/105games;50108:6rows/1games,2,1,926,105,932,105,0.9935622317596566,7,78361:184rows/11games,184,11,184,0,366,22
39,batter,2019,F,13,22613,MIN_LGT,62917,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,62917,MIN_LGT/62917:287rows/20games,1,1,287,20,287,20,1.0,62917,62917:287rows/20games,1,1,287,20,287,20,1.0,1,62917:478rows/38games,478,38,478,0,851,65
40,batter,2019,F,13,22695,MIN_LGT,65132,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,65132,MIN_LGT/65132:167rows/13games,1,1,167,13,167,13,1.0,65132,65132:1408rows/121games,1,1,1408,121,1408,121,1.0,10,65132:297rows/24games,297,24,297,0,516,37
41,batter,2019,F,13,22696,MIN_LGT,65136,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,65136,MIN_LGT/65136:337rows/23games,1,1,337,23,337,23,1.0,65136,65136:476rows/37games,1,1,476,37,476,37,1.0,3,65136:608rows/42games,608,42,608,0,927,68
42,batter,2019,F,13,22737,MIN_LGT,64117,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,64117,MIN_LGT/64117:225rows/22games,1,1,225,22,225,22,1.0,64117,64117:225rows/22games,1,1,225,22,225,22,1.0,1,64117:387rows/42games,387,42,387,0,676,67
43,batter,2019,F,13,22773,MIN_LGT,65120,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,65120,MIN_LGT/65120:151rows/13games,1,1,151,13,151,13,1.0,65120,65120:160rows/15games,1,1,160,15,160,15,1.0,2,65120:355rows/27games,355,27,355,0,443,36
44,batter,2019,F,13,22774,MIN_LGT,63360,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,63360,MIN_LGT/63360:169rows/17games,1,1,169,17,169,17,1.0,63360,63360:169rows/17games,1,1,169,17,169,17,1.0,1,63360:305rows/30games;61114:4rows/1games,309,31,305,4,490,47
45,batter,2019,F,13,22800,MIN_LGT,64164,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,64164,MIN_LGT/64164:273rows/19games,1,1,273,19,273,19,1.0,64164,64164:323rows/26games,1,1,323,26,323,26,1.0,3,64164:477rows/36games,477,36,477,0,751,56
46,batter,2019,F,13,22808,MIN_LGT,64101,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,64101,MIN_LGT/64101:401rows/28games,1,1,401,28,401,28,1.0,64101,64101:1594rows/124games,1,1,1594,124,1594,124,1.0,10,64101:692rows/52games,692,52,692,0,1105,82
47,batter,2019,F,13,22811,MIN_LGT,66113,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,66113,MIN_LGT/66113:220rows/17games,1,1,220,17,220,17,1.0,66113,66113:948rows/90games,1,2,948,90,948,90,1.0,7,66113:383rows/34games,383,34,383,0,665,56
48,batter,2019,F,13,22813,MIN_LGT,66109,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,66109,66109:211rows/21games,1,1,211,21,211,21,1.0,2,66109:4rows/1games,4,1,4,0,10,2
49,batter,2019,F,13,22816,MIN_LGT,66108,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,66108,MIN_LGT/66108:296rows/19games,1,1,296,19,296,19,1.0,66108,66108:8129rows/455games,1,1,8129,455,8129,455,1.0,9,66108:625rows/36games,625,36,625,0,1035,59
50,batter,2019,F,13,22817,MIN_LGT,64100,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,64100,MIN_LGT/64100:3rows/1games,1,1,3,1,3,1,1.0,64100,64100:219rows/33games,1,1,219,33,219,33,1.0,5,64100:15rows/3games,15,3,15,0,36,5
51,batter,2019,F,13,22831,MIN_LGT,65207,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,65207,65207:2748rows/217games,1,1,2748,217,2748,217,1.0,9,,0,0,0,0,13,1
52,batter,2019,F,13,23227,MIN_LGT,67169,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,67169,MIN_LGT/67169:37rows/7games,1,1,37,7,37,7,1.0,67169,67169:167rows/21games,1,1,167,21,167,21,1.0,4,67169:81rows/13games,81,13,81,0,149,26
53,batter,2019,F,13,23234,MIN_LGT,67123,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,67123,MIN_LGT/67123:150rows/16games,1,1,150,16,150,16,1.0,67123,67123:385rows/46games;52154:1rows/1games,2,1,385,46,386,47,0.9974093264248705,7,67123:230rows/25games,230,25,230,0,397,41
54,batter,2019,F,13,23418,MIN_LGT,65109,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,65109,MIN_LGT/65109:318rows/20games,1,1,318,20,318,20,1.0,65109,65109:534rows/42games,1,1,534,42,534,42,1.0,5,65109:556rows/36games,556,36,556,0,908,57
55,batter,2019,F,13,23425,MIN_LGT,68100,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68100,MIN_LGT/68100:73rows/6games,1,1,73,6,73,6,1.0,68100,68100:561rows/49games,1,1,561,49,561,49,1.0,4,68100:142rows/11games,142,11,142,0,192,18
56,batter,2019,F,13,23427,MIN_LGT,68106,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68106,MIN_LGT/68106:79rows/8games,1,1,79,8,79,8,1.0,68106,68106:2152rows/190games,1,1,2152,190,2152,190,1.0,10,68106:117rows/13games,117,13,117,0,260,24
57,batter,2019,F,13,23430,MIN_LGT,68110,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68110,MIN_LGT/68110:15rows/2games,1,1,15,2,15,2,1.0,68110,68110:1292rows/107games,1,2,1292,107,1292,107,1.0,8,68110:48rows/7games,48,7,48,0,72,11
58,batter,2019,F,13,23553,MIN_LGT,79530,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,79530,MIN_LGT/79530:137rows/11games,1,1,137,11,137,11,1.0,79530,79530:264rows/22games,1,1,264,22,264,22,1.0,3,79530:185rows/16games,185,16,185,0,420,33
59,batter,2019,F,13,23635,MIN_LGT,571830,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,571830,MIN_LGT/571830:29rows/2games,1,1,29,2,29,2,1.0,571830,571830:528rows/38games,1,1,528,38,528,38,1.0,2,571830:29rows/2games,29,2,29,0,29,2
60,batter,2019,F,13,23639,MIN_LGT,69102,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,69102,MIN_LGT/69102:7rows/2games,1,1,7,2,7,2,1.0,69102,69102:5389rows/345games,1,1,5389,345,5389,345,1.0,8,69102:11rows/3games,11,3,11,0,41,7
61,batter,2019,F,13,23641,MIN_LGT,69105,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,69105,MIN_LGT/69105:43rows/7games,1,1,43,7,43,7,1.0,69105,69105:1009rows/76games;68110:1rows/1games,2,1,1009,76,1010,77,0.999009900990099,5,69105:129rows/17games,129,17,129,0,218,25
62,batter,2019,F,13,23645,MIN_LGT,69100,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,69100,MIN_LGT/69100:156rows/15games,1,1,156,15,156,15,1.0,69100,69100:1787rows/186games,1,1,1787,186,1787,186,1.0,7,69100:269rows/23games,269,23,269,0,455,39
63,batter,2019,F,13,23845,MIN_LGT,,unanchored_no_exact_evidence,exact 선수 매핑 근거 없음,,confirmed_exact,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,66114:5rows/1games,5,1,0,0,8,2
64,batter,2019,F,14,22146,MIN_HER,79365,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,79365,79365:5860rows/410games,1,1,5860,410,5860,410,1.0,7,79365:26rows/2games,26,2,26,0,26,2
65,batter,2019,F,14,22148,MIN_HER,79300,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,79300,MIN_HER/79300:22rows/1games,1,1,22,1,22,1,1.0,79300,79300:95rows/16games,1,1,95,16,95,16,1.0,2,79300:89rows/7games,89,7,89,0,89,7
66,batter,2019,F,14,22392,MIN_HER,62353,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,62353,62353:405rows/49games,1,1,405,49,405,49,1.0,3,62353:14rows/1games,14,1,14,0,51,5
67,batter,2019,F,14,22736,MIN_HER,65357,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,65357,65357:4605rows/306games,1,1,4605,306,4605,306,1.0,5,65357:31rows/2games,31,2,31,0,31,2
68,batter,2019,F,14,22775,MIN_HER,65399,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,65399,65399:1072rows/88games,1,1,1072,88,1072,88,1.0,4,65399:31rows/2games,31,2,31,0,31,2
69,batter,2019,F,14,22847,MIN_HER,,unanchored_no_exact_evidence,exact 선수 매핑 근거 없음,,confirmed_exact,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,65305:12rows/3games,12,3,0,0,28,6
70,batter,2019,F,14,22852,MIN_HER,65304,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,65304,MIN_HER/65304:9rows/1games,1,1,9,1,9,1,1.0,65304,65304:158rows/13games,1,1,158,13,158,13,1.0,6,65304:53rows/5games;69305:6rows/1games,59,5,53,6,105,8
71,batter,2019,F,14,22857,MIN_HER,,unanchored_no_exact_evidence,exact 선수 매핑 근거 없음,,confirmed_exact,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,66392:29rows/3games,29,3,0,0,42,5
72,batter,2019,F,14,22872,MIN_HER,65362,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,65362,65362:475rows/33games,1,1,475,33,475,33,1.0,3,,0,0,0,0,35,2
73,batter,2019,F,14,22882,MIN_HER,64340,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,64340,64340:1247rows/98games,1,1,1247,98,1247,98,1.0,9,,0,0,0,0,69,5
74,batter,2019,F,14,22886,MIN_HER,66354,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,66354,66354:298rows/43games,1,1,298,43,298,43,1.0,4,66354:58rows/4games,58,4,58,0,103,8
75,batter,2019,F,14,23352,MIN_HER,,unanchored_no_exact_evidence,exact 선수 매핑 근거 없음,,confirmed_exact,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,7,2
76,batter,2019,F,14,23435,MIN_HER,68302,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,68302,68302:27rows/2games,1,1,27,2,27,2,1.0,1,68302:27rows/2games,27,2,27,0,59,5
77,batter,2019,F,14,23436,MIN_HER,68330,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68330,MIN_HER/68330:22rows/1games,1,1,22,1,22,1,1.0,68330,68330:549rows/55games,1,1,549,55,549,55,1.0,9,68330:131rows/7games,131,7,131,0,224,13
78,batter,2019,F,14,23442,MIN_HER,68346,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68346,MIN_HER/68346:19rows/1games,1,1,19,1,19,1,1.0,68346,68346:947rows/79games,1,1,947,79,947,79,1.0,9,68346:99rows/7games,99,7,99,0,165,13
79,batter,2019,F,14,23443,MIN_HER,75125,confirmed_global_exact_fallback,엄격 키 근거 없음·역할별 전역 exact 양방향 확정,exact_global_bidirectional_fallback,confirmed_exact,,,0,0,0,0,0,0,,75125,75125:6371rows/406games,1,1,6371,406,6371,406,1.0,7,75125:16rows/1games,16,1,16,0,16,1
80,batter,2019,F,14,23444,MIN_HER,68362,confirmed_exact_strict,시즌·게임타입·팀·역할 exact 양방향 확정,exact_strict_bidirectional,confirmed_exact,68362,MIN_HER/68362:20rows/1games,1,1,20,1,20,1,1.0,68362,68362:784rows/63games,1,1,784,63,784,63,1.0,5,68362:101rows/7games,101,7,101,0,207,14
