pitcher_id,pitcher_trackman_id,confidence,n_pitch
23736,69204,1.0,555
23642,69108,0.9908972691807543,2307
22617,63959,1.0,2174
23769,69962,1.0,4581
23914,620982,1.0,1842
23137,65398,1.0,550
23916,543193,1.0,1517
23991,50036,1.0,448
23897,573185,1.0,5500
23917,605156,1.0,1132
23987,628333,1.0,4873
23154,64029,1.0,401
23915,592468,1.0,1644
23092,63894,0.9870250231696015,1079
23105,64861,1.0,2603
22583,78536,1.0,668
23880,571527,1.0,7311
23962,605541,1.0,1471
23942,50706,1.0,366
23933,50710,1.0,218
23863,50114,1.0,364
22473,63138,1.0,272
23935,50705,1.0,2010
23944,623167,1.0,1458
23853,50157,1.0,3594
23852,50126,1.0,3896
22428,62263,1.0,167
22932,66630,1.0,264
23902,65411,1.0,1011
22414,62463,1.0,106
23879,64498,1.0,213
22261,60181,0.9768595041322314,605
22280,61156,1.0,627
23898,592716,1.0,1322
23870,50449,1.0,1095
23988,50030,1.0,4013
21441,73211,1.0,3650
23895,50596,1.0,122
23680,69507,1.0,125
23893,50556,1.0,1811
23869,50441,1.0,1625
23749,69360,1.0,1091
23236,67259,1.0,194
23458,68529,1.0,738
23857,50106,1.0,1761
23240,67260,1.0,145
23951,50296,1.0,268
23640,69104,1.0,483
22840,65241,1.0,1668
23565,68200,1.0,1531
23848,75421,1.0,2489
22205,60336,1.0,1362
23860,50109,1.0,1008
23953,50203,1.0,789
23738,69206,1.0,178
23858,50107,1.0,385
23952,50298,1.0,215
21943,77263,1.0,1560
22960,66705,1.0,160
23934,50711,1.0,208
23634,69134,1.0,2499
23909,50813,1.0,260
23856,50105,1.0,119
23743,69211,1.0,238
23954,50205,1.0,418
23235,67246,1.0,2809
23762,65897,1.0,229
23904,50812,0.9270833333333334,480
23101,64896,1.0,862
23871,50464,1.0,1325
23985,50397,1.0,213
23232,67164,1.0,546
23574,68701,1.0,701
22667,64596,1.0,1361
23929,50662,1.0,1230
22731,65057,1.0,418
23947,50262,1.0,223
23959,50211,1.0,129
22710,65707,1.0,2166
23336,67711,1.0,428
23931,50758,1.0,143
23331,67768,1.0,349
22867,66305,1.0,1059
22622,63914,1.0,391
23703,69703,1.0,637
23903,50859,1.0,5533
23648,66663,1.0,231
23257,67954,1.0,816
23540,68856,1.0,2462
23600,65937,1.0,124
23979,50360,1.0,2123
23145,66858,1.0,320
22899,64580,1.0,1453
22785,65392,1.0,750
23567,68797,1.0,477
23513,68415,1.0,625
23043,65949,1.0,2205
23868,50430,1.0,264
23542,68896,1.0,944
23982,50393,1.0,481
23977,50354,1.0,951
24109,664641,1.0,2230
22720,64001,1.0,5133
24021,605498,1.0,1161
24085,641149,1.0,1649
24053,521655,1.0,2753
24140,543001,1.0,1805
24126,596043,1.0,749
24086,51359,1.0,1556
24136,51713,1.0,1158
24026,51058,1.0,267
24110,621141,1.0,1528
24115,51648,1.0,2014
24133,51761,1.0,635
24051,51867,1.0,429
23418,65109,1.0,1459
24059,51809,1.0,283
23955,50206,1.0,172
24038,51516,1.0,2047
24056,51895,1.0,1427
23097,65844,1.0,133
23872,50411,1.0,193
24043,575070,1.0,1413
23177,66201,1.0,196
24012,51163,1.0,279
24011,51154,1.0,621
23555,68220,1.0,4598
24063,51454,1.0,2135
24013,51110,1.0,755
24089,51301,1.0,1107
23347,67539,1.0,3744
24047,51546,1.0,143
23927,50650,1.0,142
22615,62966,1.0,306
24042,51594,1.0,322
24039,51586,1.0,129
24018,51111,1.0,1184
23286,67360,1.0,134
24088,51393,1.0,507
22904,66556,1.0,131
23459,68585,1.0,1213
23504,68619,1.0,700
24100,51264,1.0,2496
22821,66160,1.0,176
24113,51202,1.0,183
23229,67143,1.0,3633
23972,50904,1.0,517
22721,64017,1.0,1217
23538,68848,1.0,115
24129,51715,1.0,2142
23731,69213,1.0,607
23964,50995,1.0,204
23963,50992,1.0,862
23484,68092,1.0,954
24147,543208,1.0,472
24146,543557,1.0,815
24102,51294,1.0,138
23560,68260,1.0,224
23968,50905,1.0,241
24064,51460,1.0,364
24020,51143,1.0,1876
22292,61666,1.0,1385
23930,50720,1.0,966
23535,68801,1.0,139
23366,67454,1.0,129
24076,51948,1.0,1546
23932,50726,1.0,1764
24151,649963,1.0,100
24173,52809,1.0,148
24152,52149,1.0,387
24157,52119,1.0,411
24239,467100,1.0,508
24283,544150,1.0,2513
22651,64350,1.0,2515
24205,52903,1.0,538
24166,52873,1.0,449
24252,52060,1.0,1990
24269,543594,1.0,590
24222,656212,1.0,4565
24164,592644,1.0,2666
24193,621169,1.0,1376
24248,52715,1.0,283
24241,52731,1.0,418
24223,642098,1.0,803
24237,476594,1.0,1867
24271,657122,1.0,453
24078,51994,1.0,768
24259,52003,1.0,122
23558,68242,1.0,1484
24240,52701,1.0,2339
24099,51230,1.0,1595
24179,52394,1.0,119
24247,52714,1.0,117
24197,52994,1.0,206
24300,605138,1.0,3503
24185,52397,1.0,994
24209,52530,1.0,974
22901,65522,1.0,372
24234,52206,1.0,896
24211,52558,1.0,513
23564,68269,1.0,276
23699,69767,1.0,214
24303,606162,1.0,386
24307,596049,1.0,752
23775,69991,1.0,104
24178,52330,0.9981360671015843,1073
24167,52844,1.0,114
24305,570240,1.0,3211
24306,623381,1.0,532
24310,663399,1.0,2901
24224,52204,1.0,1072
24161,52123,1.0,221
23158,66068,1.0,148
24183,52395,1.0,743
24313,571616,1.0,375
24277,52460,1.0,155
24265,52639,1.0,637
24268,52661,1.0,131
24286,52641,1.0,911
24444,53892,1.0,1383
24344,53139,1.0,906
24028,51097,1.0,459
24410,642558,1.0,3508
24424,676641,1.0,247
24434,53006,1.0,129
24327,607200,1.0,1734
24411,53455,1.0,783
24447,53898,1.0,1749
24343,53164,1.0,671
24319,53996,1.0,1117
24355,53754,1.0,908
24387,658431,1.0,357
24392,53609,1.0,351
24440,668948,1.0,1379
24388,641312,1.0,586
24373,53562,1.0,102
24329,53262,1.0,761
24334,53298,1.0,119
24389,53613,1.0,1017
24226,52295,1.0,162
24017,51109,1.0,191
24459,645307,1.0,1909
24460,606273,1.0,2371
24314,53919,1.0,344
24169,52868,1.0,493
24094,51306,1.0,104
24423,642203,1.0,773
24399,53300,1.0,278
24461,641855,1.0,708
24463,532936,1.0,537
24452,53809,1.0,157
24446,53897,1.0,106
24465,658792,1.0,2311
24467,668684,1.0,550
24044,51526,1.0,374
24508,641447,1.0,1030
24570,646241,1.0,1414
24568,54319,1.0,972
24573,54368,1.0,381
24494,667498,1.0,228
24055,51897,1.0,714
24572,54363,1.0,329
24527,54263,1.0,582
24607,54063,1.0,796
24541,657756,1.0,1414
24483,608650,1.0,1647
24571,54362,1.0,409
24509,606996,1.0,1517
24540,660593,1.0,1388
24469,54561,1.0,321
24544,54729,1.0,829
24559,640444,1.0,269
24488,54105,1.0,320
24608,54064,1.0,304
24546,54768,1.0,465
24487,54104,1.0,131
24328,53259,1.0,691
24604,547943,1.0,1465
24560,664942,1.0,485
24484,683412,1.0,384
24485,54149,1.0,441
24401,53301,1.0,210
24499,54803,1.0,203
24537,54404,1.0,191
24619,623454,1.0,1247
24515,54903,1.0,146
24579,54304,1.0,118
24623,642545,1.0,628
24512,54900,1.0,512
24622,54843,1.0,758
24317,53973,1.0,132
24624,682027,1.0,173
24482,54537,1.0,291
24626,680802,1.0,794
24627,666364,1.0,584
24629,622694,1.0,476
24631,641778,1.0,108
